country_name,iso3,year,boundary_name,wsdi_days,n_valid_cells,n_total_cells,grid_coverage_rate,wsdi_source_dataset,wsdi_source_version,base_period,aggregation,n_valid_years_1951_2018,time_coverage_rate,passes_time_coverage,wsdi_source_status,wsdi_missing_reason
Austria,AUT,2010,Austria,9.50453782081604,4,4,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Austria,AUT,2011,Austria,24.680668830871582,4,4,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Austria,AUT,2012,Austria,24.61418056488037,4,4,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Austria,AUT,2013,Austria,13.676518201828003,4,4,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Austria,AUT,2014,Austria,20.343978881835938,4,4,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Austria,AUT,2015,Austria,39.510921478271484,4,4,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Austria,AUT,2016,Austria,17.626888275146484,4,4,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Austria,AUT,2017,Austria,19.857701301574707,4,4,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Austria,AUT,2018,Austria,38.687374114990234,4,4,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,1995,Belgium,10.77463150024414,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,1996,Belgium,4.546045303344727,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,1997,Belgium,11.491044998168945,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,1998,Belgium,19.709470748901367,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,1999,Belgium,10.605339050292969,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2000,Belgium,11.868287086486816,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2001,Belgium,5.381298065185547,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2002,Belgium,18.01819610595703,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2003,Belgium,24.600963592529297,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2004,Belgium,11.006437301635742,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2005,Belgium,20.29530143737793,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2006,Belgium,25.16317367553711,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2007,Belgium,25.69841766357422,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2008,Belgium,10.525053024291992,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2009,Belgium,11.635458946228027,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2010,Belgium,4.10503625869751,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2011,Belgium,21.6796875,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2012,Belgium,14.181999206542969,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2013,Belgium,5.973151683807373,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2014,Belgium,17.76035499572754,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2015,Belgium,29.87656593322754,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2016,Belgium,14.186626434326172,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2017,Belgium,12.565021514892578,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Belgium,BEL,2018,Belgium,32.89573287963867,1,1,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,1995,Bangladesh,6.6966582298278805,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,1996,Bangladesh,7.46376142501831,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,1997,Bangladesh,8.539276218414306,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,1998,Bangladesh,20.15386505126953,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,1999,Bangladesh,15.995520782470702,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
