variable,sample,N,mean,sd,min,p10,p25,p50,p75,p90,max
T_lead,tax,1024,1.0318161,.032098934,.85493004,.99968439,1.0149808,1.0304478,1.0509084,1.0702929,1.2462394
T_it,tax,1024,1.0330091,.032549631,.85493004,1.0003356,1.0159111,1.031876,1.0517397,1.0713896,1.2462394
mA_hat_spread_ratio,theta_support,742,.033527605,.020246085,.00018186959,.013448262,.020117573,.028736675,.042958215,.060215909,.11810246
mA_hat,theta_support,742,.033527605,.020246085,.00018186959,.013448262,.020117573,.028736675,.042958215,.060215909,.11810246
spread_saving_component,theta_support,742,.026914703,.035333455,7.0947326e-06,.0035288604,.0075764451,.014820236,.032281142,.063174486,.24045749
TA_hat,theta_support,742,-.014393576,.011513761,-.033112291,-.027160624,-.022698103,-.016440831,-.0084649436,.0025421269,.047190908
theta_hat_A,theta_support,742,.012521126,.038123213,-.031083113,-.020023741,-.010693272,.0029643516,.021705678,.052337069,.22234873
theta_hat_A,all_constructible,742,.012521126,.038123213,-.031083113,-.020023741,-.010693272,.0029643516,.021705678,.052337069,.22234873
