model,equation
Spread_Interact_all,"s_it = FE_i + FE_t + rho_s s_i,t-1 + beta_A A_c + beta_X X_c + beta_B b_c + beta_AB(A_c*b_c) + beta_AX(A_c*X_c) + controls + error"
T3_persistence,T(t+1) = FE_i + FE_t + rho_T T(t) + Gamma W_it + error
T1_X_only,T(t+1) = FE_i + FE_t + rho_T T(t) + gamma_X X_it + Gamma W_it + error
T2_A_only,T(t+1) = FE_i + FE_t + rho_T T(t) + gamma_A A_it + Gamma W_it + error
T7_layer2_A,T(t+1) = FE_i + FE_t + gamma_X X_it + gamma_A A_it + rho_T T(t) + Gamma W_it + error
T10_interact_full,T(t+1) = FE_i + FE_t + centered interaction core + Gamma W + error; current GDP excluded
