country_name,iso3,year,bond_spreads,readiness100,debt_gdp,CurrentGDP,ConstantGDP,interest_revenue,wsdi_days,wsdi_merge,country_id,duplicate_key,spread_lag,b_pre,ln_constantgdp,ln_constantgdp_lag,T_it,T_lead,outcome_year,b_outcome_common,A_outcome_common,spread_missing_count,eligible_spread,sample_spread,tax_missing_count,eligible_tax,sample_tax,mA_hat_spread_ratio,mA_hat,spread_saving_component,TA_hat,theta_hat_A,theta_constructible,sample_theta_support,mA_hat_se,TA_hat_se
Australia,AUS,1995,.0262286996841431,.5829214096069336,.3109700012207031,379.79401,1155.7791,.0677430772781372,.0827267262040537,Matched (3),AUS,0,,,7.052529900111876,,,1.039684026707669,1996,-.0179700088500976,,3,0,0,2,0,0,,,,,,0,0,,
Australia,AUS,1996,.0176441895961761,.5860774612426758,.2929999923706055,425.32101,1201.645,.0630793714523315,.0508710866766693,Matched (3),AUS,0,.0262286996841431,.3109700012207031,7.091446746628972,7.052529900111876,1.039684026707669,1.047234443018177,1997,-.0343599891662598,.0031560516357422,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,1997,.0059797602891922,.587919807434082,.2586400032043457,427.11301,1258.4041,.0529903936386108,.0429568720750743,Matched (3),AUS,0,.0176441895961761,.2929999923706055,7.137599572284317,7.091446746628972,1.047234443018177,1.046874402818705,1998,-.0220700073242188,.0018423461914062,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,1998,.0021465699374676,.5919098281860351,.2365699958801269,382.15701,1317.391,.0403354978561401,.1308506991599911,Matched (3),AUS,0,.0059797602891922,.2586400032043457,7.183408537873615,7.137599572284317,1.046874402818705,1.044204784866513,1999,-.0115299987792969,.0039900207519531,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,1999,.0037617000937462,.5988552093505859,.2250399971008301,412.70099,1375.626,.0265623736381531,.0409553859285239,Matched (3),AUS,0,.0021465699374676,.2365699958801269,7.226664162185063,7.183408537873615,1.044204784866513,1.031083327831577,2000,-.0304599952697754,.0069453811645508,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,2000,.0028916499018669,.6069406127929687,.1945800018310547,401.043,1418.385,.0185470128059387,.0339377581145743,Matched (3),AUS,0,.0037617000937462,.2250399971008301,7.257274186293002,7.226664162185063,1.031083327831577,1.025835046702027,2001,-.0238199996948242,.0080854034423828,0,1,1,0,1,1,.0109993427917273,.0109993427917273,.0024752920699613,-.029396138092943,-.0269208460229816,1,1,.0154018385442934,.0229876461356055
Australia,AUS,2001,.0061443400382996,.6124575042724609,.1707600021362305,378.776,1455.0291,.0201542520523071,.0665962926966363,Matched (3),AUS,0,.0028916499018669,.1945800018310547,7.282781146921279,7.257274186293002,1.025835046702027,1.041474049712079,2002,-.020910005569458,.0055168914794922,0,1,1,0,1,1,.0093394762603613,.0093394762603613,.0018172753078422,-.0258200587881519,-.0240027834803098,1,1,.0152233056177269,.0228378669695872
Australia,AUS,2002,.0125736904144287,.6151788330078125,.1498499965667724,426.22699,1515.375,.0187742519378662,.1760760325028979,Matched (3),AUS,0,.0061443400382996,.1707600021362305,7.323418212066747,7.282781146921279,1.041474049712079,1.030179349815433,2003,-.0181999969482422,.0027213287353516,0,1,1,0,1,1,.0083979451907952,.0083979451907952,.0014340331387201,-.013832128624558,-.0123980954858378,1,1,.0150124532527942,.0232580993203729
Australia,AUS,2003,.0137061405181885,.6199591827392578,.1316499996185303,542.02399,1561.108,.0081334781646729,.0797213754119544,Matched (3),AUS,0,.0125736904144287,.1498499965667724,7.353151125184515,7.323418212066747,1.030179349815433,1.041029207504154,2004,-.0127700042724609,.0047803497314453,0,1,1,0,1,1,.0067540497422804,.0067540497422804,.0010120943306925,-.0243828743806893,-.0233707800499968,1,1,.0153444793403326,.0228132914589051
Australia,AUS,2004,.0133891904354095,.6290117645263672,.1188799953460693,659.797,1625.1591,-.0003046922571957,.0931815298227914,Matched (3),AUS,0,.0137061405181885,.1316499996185303,7.393360971584323,7.353151125184515,1.041029207504154,1.030403724755607,2005,-.0104799938201904,.0090525817871094,0,1,1,0,1,1,.0057365618455888,.0057365618455888,.0007552183647834,-.0229089999327426,-.0221537815679591,1,1,.0153963641786605,.0228094340001979
Australia,AUS,2005,.0106144094467163,.6338233566284179,.1084000015258789,737.70898,1674.5699,-.0039476591348648,.1843283135438788,Matched (3),AUS,0,.0133891904354095,.1188799953460693,7.42331166280949,7.393360971584323,1.030403724755607,1.026362003945597,2006,-.0092000007629394,.0048115921020507,0,1,1,0,1,1,.0053696379600118,.0053696379600118,.0006383425356963,-.0129285114896918,-.0122901689539955,1,1,.0154132747729235,.0233462048630815
Australia,AUS,2006,.0079932397603989,.6775400543212891,.0992000007629395,784.87402,1718.715,-.0083878266811371,.0685514350502655,Matched (3),AUS,0,.0106144094467163,.1084000015258789,7.449332177684408,7.42331166280949,1.026362003945597,1.043573260335633,2007,-.0027299976348877,.0437166976928711,0,1,1,0,1,1,.0042591153898791,.0042591153898791,.0004616881147618,-.0256059725103012,-.0251442843955394,1,1,.0156530308143301,.0228329054321301
Australia,AUS,2007,.0136185598373413,.6845761108398437,.0964700031280518,951.94202,1793.605,-.0053767955303192,.1206501451474985,Matched (3),AUS,0,.0079932397603989,.0992000007629395,7.491982829114191,7.449332177684408,1.043573260335633,1.026640192763842,2008,.0206199932098389,.0070360565185547,0,1,1,0,1,1,.0039371498236203,.0039371498236203,.0003905652655069,-.0199012119823333,-.0195106467168264,1,1,.0155666319159604,.0228686021101708
Australia,AUS,2008,.0217819690704346,.6924519348144531,.1170899963378906,1059.505,1841.387,-.000914886072278,.0579952602170949,Matched (3),AUS,0,.0136185598373413,.0964700031280518,7.518274350830108,7.491982829114191,1.026640192763842,1.019769378683299,2009,.0485700035095215,.0078758239746094,0,1,1,0,1,1,.0035098529201212,.0035098529201212,.0003385955221831,-.026761863882702,-.0264232683605189,1,1,.0157873085953917,.0228650887043337
Australia,AUS,2009,.0190714204311371,.6840602111816406,.1656599998474121,1004.22,1877.79,.0011487650871277,.1729341976560395,Matched (3),AUS,0,.0217819690704346,.1170899963378906,7.537850853231881,7.518274350830108,1.019769378683299,1.0242843721608,2010,.0372200012207031,-.0083917236328125,0,1,1,0,1,1,.0052155525435207,.0052155525435207,.0006106890282209,-.0141761566318983,-.0135654676036774,1,1,.0154108390551478,.023226566507301
Australia,AUS,2010,.0218759703636169,.6909468841552734,.2028800010681152,1258.45,1923.391,.0073728650808334,.0662896447305022,Matched (3),AUS,0,.0190714204311371,.1656599998474121,7.561845048483976,7.537850853231881,1.0242843721608,1.027505615330488,2011,.0367399978637695,.0068866729736328,0,1,1,0,1,1,.0076305365666333,.0076305365666333,.0012640746864641,-.0258536364565802,-.024589561770116,1,1,.0153370137277635,.0228386864010619
Australia,AUS,2011,.0212405610084534,.6945819854736328,.2396199989318848,1520.441,1976.295,.0138893270492554,.0501844188552992,Matched (3),AUS,0,.0218759703636169,.2028800010681152,7.588979180899133,7.561845048483976,1.027505615330488,1.038745176054887,2012,.0345800018310547,.0036351013183594,0,1,1,0,1,1,.0097598635587093,.0097598635587093,.0019800811292156,-.0276171437813372,-.0256370626521216,1,1,.0153126615216474,.0228974062638665
Australia,AUS,2012,.0162369894981384,.6979860687255859,.2742000007629394,1575.9301,2052.8669,.0194945406913757,.0608643193258101,Matched (3),AUS,0,.0212405610084534,.2396199989318848,7.626992604085389,7.588979180899133,1.038745176054887,1.022434564466163,2013,.0291300010681153,.0034040832519531,0,1,1,0,1,1,.0119746058081862,.0119746058081862,.0028693550309673,-.0264477045661803,-.023578349535213,1,1,.0151648954170668,.0228550321129195
Australia,AUS,2013,.0137189996242523,.7084961700439453,.3033300018310547,1526.608,2098.9221,.0219707846641541,.1862538745485503,Matched (3),AUS,0,.0162369894981384,.2742000007629394,7.649179215340286,7.626992604085389,1.022434564466163,1.025586863607099,2014,.0356000137329102,.0105101013183594,0,1,1,0,1,1,.0145489854666593,.0145489854666593,.003989331826058,-.0127176643421685,-.0087283325161105,1,1,.0145766744020307,.0233678573912222
Australia,AUS,2014,.0110953998565674,.7096913146972657,.3389300155639648,1463.0909,2152.627,.0248166942596436,.1307058555339945,Matched (3),AUS,0,.0137189996242523,.3033300018310547,7.674444213947107,7.649179215340286,1.025586863607099,1.023201461695149,2015,.0368199920654297,.0011951446533204,0,1,1,0,1,1,.0160331069576205,.0160331069576205,.0048633223628125,-.0188001210035644,-.0139367986407519,1,1,.0147117752900425,.0229126602663921
Australia,AUS,2015,.0058648902177811,.7059880065917968,.3757500076293945,1238.863,2202.571,.0265594959259033,.127958179387553,Matched (3),AUS,0,.0110953998565674,.3389300155639648,7.697380613781308,7.674444213947107,1.023201461695149,1.027033836411216,2016,.0288499832153321,-.0037033081054688,0,1,1,0,1,1,.0181235089483432,.0181235089483432,.0061426011699356,-.019100988998081,-.0129583878281454,1,1,.0147729224404353,.0228994359659561
Australia,AUS,2016,.0053299200534821,.7049276733398437,.4045999908447266,1267.66,2262.115,.0258846569061279,.1685088971458298,Matched (3),AUS,0,.0058648902177811,.3757500076293945,7.724055491031359,7.697380613781308,1.027033836411216,1.023874163669297,2017,.0057900238037109,-.0010603332519531,0,1,1,0,1,1,.0204698377001048,.0204698377001048,.0076915416719868,-.0146607229412738,-.0069691812692869,1,1,.0146790556495629,.023184046454236
Australia,AUS,2017,.0033318600058556,.6910182952880859,.4103900146484375,1386.3669,2316.1211,.0248239135742187,.1617828865241313,Matched (3),AUS,0,.0053299200534821,.4045999908447266,7.747649123055741,7.724055491031359,1.023874163669297,1.027886232200591,2018,.0055899810791016,-.0139093780517578,0,1,1,0,1,1,.0221447748923582,.0221447748923582,.0089597757187067,-.0153972148780942,-.0064374391593876,1,1,.0148184904641324,.0231236877677145
Australia,AUS,2018,-.002247180044651,.6957149505615234,.4159799957275391,1422.597,2380.709,.0237605333328247,.1504304168379034,Matched (3),AUS,0,.0033318600058556,.4103900146484375,7.775153614898869,7.747649123055741,1.027886232200591,1.019740377365921,2019,.0493099975585937,.0046966552734375,0,1,1,0,1,1,.0224384434285152,.0224384434285152,.0092085131273165,-.0166402997997761,-.0074317866724596,1,1,.0149043188749398,.0230335890537288
Australia,AUS,2019,-.0063495802879333,.6934119415283203,.4652899932861328,1391.9871,2427.7051,.0238628768920898,,Master only (1),AUS,0,-.002247180044651,.4159799957275391,7.794701677802087,7.775153614898869,1.019740377365921,.9795716561342253,2020,.1038100051879883,-.0023030090332031,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,2020,.0003610099852085,.6805802154541015,.5690999984741211,1366.6689,2378.1111,.0251923823356628,,Master only (1),AUS,0,-.0063495802879333,.4652899932861328,7.774061789357503,7.794701677802087,.9795716561342253,1.053582360195726,2021,-.0153799819946289,-.0128317260742188,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,2021,.0006467799842358,.6939528656005859,.5537200164794922,1660.123,2505.5359,.0239012241363525,,Master only (1),AUS,0,.0003610099852085,.5690999984741211,7.826257918253239,7.774061789357503,1.053582360195726,1.042080841496004,2022,-.0532700347900391,.0133726501464844,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,2022,.0024293300509453,.6931456756591797,.5004499816894531,1731.233,2610.9709,.0211473512649536,,Master only (1),AUS,0,.0006467799842358,.5537200164794922,7.867477441584609,7.826257918253239,1.042080841496004,1.021351087943312,2023,-.0062899780273437,-.0008071899414062,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,2023,.0000173500005621,.6933090972900391,.4941600036621094,1748.175,2666.718,.0201537108421326,,Master only (1),AUS,0,.0024293300509453,.5004499816894531,7.888603788400254,7.867477441584609,1.021351087943312,,,,.0001634216308594,1,0,0,2,0,0,,,,,,0,0,,
Austria,AUT,1995,.0057840400934219,.6027582168579102,.6823799896240235,239.914,261.84201,.0650598573684692,.0735143113136291,Matched (3),AUT,0,,,5.567741308509181,,,1.023983923616198,1996,-.0005799865722657,,3,0,0,2,0,0,,,,,,0,0,,
Austria,AUT,1996,-.0010305800288916,.6091216278076171,.6818000030517578,236.04401,268.12201,.0645924663543701,.0778975284099579,Matched (3),AUT,0,.0057840400934219,.6823799896240235,5.5914421354097,5.567741308509181,1.023983923616198,1.021456614987192,1997,-.0480699920654297,.0063634109497069,1,0,0,1,0,0,,,,,,0,0,,
Austria,AUT,1997,-.0064793801307678,.6105945205688477,.6337300109863281,211.978,273.875,.0605323505401611,.1073175525665283,Matched (3),AUT,0,-.0010305800288916,.6818000030517578,5.61267179791563,5.5914421354097,1.021456614987192,1.03493194371149,1998,.058239974975586,.0014728927612305,1,0,0,1,0,0,,,,,,0,0,,
Austria,AUT,1998,-.0054932999610901,.6114191055297852,.6919699859619141,217.36301,283.44199,.0556254482269287,.2325909328460694,Matched (3),AUT,0,-.0064793801307678,.6337300109863281,5.647007467602892,5.61267179791563,1.03493194371149,1.03761622605589,1999,-.0785699844360351,.0008245849609375,1,0,0,1,0,0,,,,,,0,0,,
Austria,AUT,1999,-.0093682897090912,.6154182434082032,.6134000015258789,216.63699,294.104,.0595141124725342,.1135143876075745,Matched (3),AUT,0,-.0054932999610901,.6919699859619141,5.683933459565374,5.647007467602892,1.03761622605589,1.031896816502719,2000,.0476900100708008,.003999137878418,1,0,0,1,0,0,,,,,,0,0,,
Austria,AUT,2000,-.0046363100409508,.6191512298583984,.6610900115966797,196.26801,303.48499,.0561751747131348,.182256441116333,Matched (3),AUT,0,-.0093682897090912,.6134000015258789,5.715332137617017,5.683933459565374,1.031896816502719,1.013170369113034,2001,.0112899780273438,.0037329864501953,0,1,1,0,1,1,.0345607269460136,.0345607269460136,.0211995499614202,-.0131553796025796,.0080441703588406,1,1,.0165065642348703,.0233233681943853
Austria,AUT,2001,.0008951599895954,.6275384521484375,.6723799896240235,196.479,307.48199,.0525800848007202,.0964376544952393,Matched (3),AUT,0,-.0046363100409508,.6610900115966797,5.72841653147988,5.715332137617017,1.013170369113034,1.01484313046309,2002,.0020200347900391,.0083872222900391,0,1,1,0,1,1,.0370121982929574,.0370121982929574,.0244683945987098,-.0225524572952981,.0019159373034117,1,1,.0179210169922614,.0228117501135433
Austria,AUT,2002,.0037111800909042,.634068717956543,.6744000244140625,212.687,312.04599,.0520663118362427,.2171391296386719,Matched (3),AUT,0,.0008951599895954,.6723799896240235,5.743150580761461,5.72841653147988,1.01484313046309,1.011415021609031,2003,-.010279998779297,.0065302658081055,0,1,1,0,1,1,.0381914629911876,.0381914629911876,.025679175489741,-.0093357575002234,.0163434179895176,1,1,.0170624993944094,.0237705764721544
Austria,AUT,2003,.001381009966135,.6313937377929687,.6641200256347656,260.71399,315.608,.0485137414932251,.3156557559967041,Matched (3),AUT,0,.0037111800909042,.6744000244140625,5.754500942607804,5.743150580761461,1.011415021609031,1.025652100887627,2004,-.005,-.0026749801635743,0,1,1,0,1,1,.0387291456599229,.0387291456599229,.0261189367785878,.0014517218893232,.0275706586679109,1,1,.0167882650526047,.0256965399447054
Austria,AUT,2004,-.0013185000419617,.6373421859741211,.6591200256347656,299.07501,323.70401,.0465417718887329,.1080124831199646,Matched (3),AUT,0,.001381009966135,.6641200256347656,5.77982954889923,5.754500942607804,1.025652100887627,1.023203253885852,2005,.0351599884033204,.0059484481811524,0,1,1,0,1,1,.0372402702879737,.0372402702879737,.0247320092582947,-.021285024275688,.0034469849826067,1,1,.0178387205343583,.0228302228251795
Austria,AUT,2005,-.008858739733696,.6465612030029297,.6942800140380859,314.12601,331.215,.0490587568283081,.1487309050559998,Matched (3),AUT,0,-.0013185000419617,.6591200256347656,5.80276770028403,5.77982954889923,1.023203253885852,1.032694805879859,2006,-.0125199890136719,.0092190170288087,0,1,1,0,1,1,.0371179691314982,.0371179691314982,.0244651967654635,-.0168263947666597,.0076388019988039,1,1,.0173707832001411,.023021382655193
Austria,AUT,2006,-.0099460798501968,.6764082336425781,.681760025024414,333.92401,342.04401,.0486421585083008,.2446134424209595,Matched (3),AUT,0,-.008858739733696,.6942800140380859,5.834939402316035,5.80276770028403,1.032694805879859,1.037752435783484,2007,-.0236299896240234,.0298470306396483,0,1,1,0,1,1,.0396012772036983,.0396012772036983,.0274943752929098,-.0063273456834832,.0211670296094266,1,1,.0172283185832483,.0242135093175207
