theta,cutoff,branch,marginal_effect,se,ci_low,ci_high,critical
.0229170876760553,.1073170601948233,low,-.1135195189409893,.0509330296141171,-.2135281690166497,-.0135108688653289,1.963532325356529
.0241435552677946,.1073170601948233,low,-.1118698974203188,.050192890627023,-.2104252606695633,-.0133145341710743,1.963532325356529
.0253700228595338,.1073170601948233,low,-.1102202758996484,.0494527516399289,-.2073223523224769,-.0131181994768198,1.963532325356529
.0265964904512731,.1073170601948233,low,-.1085706543789779,.0487126126528348,-.2042194439753906,-.0129218647825652,1.963532325356529
.0278229580430124,.1073170601948233,low,-.1069210328583075,.0479724736657407,-.2011165356283043,-.0127255300883107,1.963532325356529
.0290494256347516,.1073170601948233,low,-.105271411337637,.0472323346786466,-.1980136272812179,-.0125291953940561,1.963532325356529
.0302758932264909,.1073170601948233,low,-.1036217898169666,.0464921956915525,-.1949107189341315,-.0123328606998016,1.963532325356529
.0315023608182302,.1073170601948233,low,-.1019721682962961,.0457520567044584,-.1918078105870452,-.012136526005547,1.963532325356529
.0327288284099694,.1073170601948233,low,-.1003225467756256,.0450119177173643,-.1887049022399588,-.0119401913112925,1.963532325356529
.0339552960017087,.1073170601948233,low,-.0986729252549552,.0442717787302702,-.1856019938928724,-.0117438566170379,1.963532325356529
.0351817635934479,.1073170601948233,low,-.0970233037342847,.0435316397431761,-.1824990855457861,-.0115475219227834,1.963532325356529
.0364082311851872,.1073170601948233,low,-.0953736822136143,.042791500756082,-.1793961771986997,-.0113511872285288,1.963532325356529
.0376346987769265,.1073170601948233,low,-.0937240606929438,.0420513617689879,-.1762932688516133,-.0111548525342743,1.963532325356529
.0388611663686657,.1073170601948233,low,-.0920744391722734,.0413112227818938,-.173190360504527,-.0109585178400197,1.963532325356529
.040087633960405,.1073170601948233,low,-.0904248176516029,.0405710837947997,-.1700874521574407,-.0107621831457652,1.963532325356529
.0413141015521443,.1073170601948233,low,-.0887751961309325,.0398309448077056,-.1669845438103543,-.0105658484515106,1.963532325356529
.0425405691438835,.1073170601948233,low,-.087125574610262,.0390908058206115,-.1638816354632679,-.0103695137572561,1.963532325356529
.0437670367356228,.1073170601948233,low,-.0854759530895915,.0383506668335174,-.1607787271161816,-.0101731790630015,1.963532325356529
.044993504327362,.1073170601948233,low,-.0838263315689211,.0376105278464233,-.1576758187690952,-.0099768443687469,1.963532325356529
.0462199719191013,.1073170601948233,low,-.0821767100482506,.0368703888593293,-.1545729104220089,-.0097805096744924,1.963532325356529
.0474464395108406,.1073170601948233,low,-.0805270885275802,.0361302498722351,-.1514700020749225,-.0095841749802378,1.963532325356529
.0486729071025798,.1073170601948233,low,-.0788774670069097,.035390110885141,-.1483670937278361,-.0093878402859833,1.963532325356529
.0498993746943191,.1073170601948233,low,-.0772278454862393,.034649971898047,-.1452641853807498,-.0091915055917288,1.963532325356529
.0511258422860583,.1073170601948233,low,-.0755782239655688,.0339098329109528,-.1421612770336634,-.0089951708974742,1.963532325356529
.0523523098777976,.1073170601948233,low,-.0739286024448984,.0331696939238588,-.1390583686865771,-.0087988362032196,1.963532325356529
.0535787774695369,.1073170601948233,low,-.0722789809242279,.0324295549367647,-.1359554603394907,-.0086025015089651,1.963532325356529
.0548052450612761,.1073170601948233,low,-.0706293594035574,.0316894159496705,-.1328525519924043,-.0084061668147105,1.963532325356529
.0560317126530154,.1073170601948233,low,-.068979737882887,.0309492769625765,-.129749643645318,-.008209832120456,1.963532325356529
.0572581802447547,.1073170601948233,low,-.0673301163622165,.0302091379754824,-.1266467352982316,-.0080134974262014,1.963532325356529
.0584846478364939,.1073170601948233,low,-.0656804948415461,.0294689989883883,-.1235438269511453,-.0078171627319469,1.963532325356529
.0597111154282332,.1073170601948233,low,-.0640308733208756,.0287288600012942,-.1204409186040589,-.0076208280376923,1.963532325356529
.0609375830199724,.1073170601948233,low,-.0623812518002052,.0279887210142001,-.1173380102569726,-.0074244933434378,1.963532325356529
.0621640506117117,.1073170601948233,low,-.0607316302795347,.027248582027106,-.1142351019098862,-.0072281586491832,1.963532325356529
.063390518203451,.1073170601948233,low,-.0590820087588643,.0265084430400119,-.1111321935627999,-.0070318239549287,1.963532325356529
