equation,cutoff,coefficient_low,coefficient_high,effective_a,effective_b,product_ab,opposite_sign
debt,-.0553900755177519,.17149594,-.23572662,.17149594,-.23572662,-.040426161,1
ready,.1147928662544961,1.7612923,.037031673,1.7612923,.037031673,.065223604,0
ready_debt,-.0553900755177519,1.2503586,-.10933993,1.2503586,-.10933993,-.13671412,1
