country_name,iso3,year,theta_hat_A,cutoff
Australia,AUS,2000,-.0269208460229816,.0517856469405607
Australia,AUS,2001,-.0240027834803098,.0517856469405607
Australia,AUS,2002,-.0123980954858378,.0517856469405607
Australia,AUS,2003,-.0233707800499968,.0517856469405607
Australia,AUS,2004,-.0221537815679591,.0517856469405607
Australia,AUS,2005,-.0122901689539955,.0517856469405607
Australia,AUS,2006,-.0251442843955394,.0517856469405607
Australia,AUS,2007,-.0195106467168264,.0517856469405607
Australia,AUS,2008,-.0264232683605189,.0517856469405607
Australia,AUS,2009,-.0135654676036774,.0517856469405607
Australia,AUS,2010,-.024589561770116,.0517856469405607
Australia,AUS,2011,-.0256370626521216,.0517856469405607
Australia,AUS,2012,-.023578349535213,.0517856469405607
Australia,AUS,2013,-.0087283325161105,.0517856469405607
Australia,AUS,2014,-.0139367986407519,.0517856469405607
Australia,AUS,2015,-.0129583878281454,.0517856469405607
Australia,AUS,2016,-.0069691812692869,.0517856469405607
Australia,AUS,2017,-.0064374391593876,.0517856469405607
Australia,AUS,2018,-.0074317866724596,.0517856469405607
Austria,AUT,2000,.0080441703588406,.0517856469405607
Austria,AUT,2001,.0019159373034117,.0517856469405607
Austria,AUT,2002,.0163434179895176,.0517856469405607
Austria,AUT,2003,.0275706586679109,.0517856469405607
Austria,AUT,2004,.0034469849826067,.0517856469405607
Austria,AUT,2005,.0076388019988039,.0517856469405607
Austria,AUT,2006,.0211670296094266,.0517856469405607
Austria,AUT,2007,.0310721813696732,.0517856469405607
Austria,AUT,2008,.0073433855360284,.0517856469405607
Austria,AUT,2009,.0128162865127588,.0517856469405607
Austria,AUT,2010,.0141604169441688,.0517856469405607
Austria,AUT,2011,.0340756056757436,.0517856469405607
Austria,AUT,2012,.0337107065111121,.0517856469405607
Austria,AUT,2013,.0209412673136467,.0517856469405607
Austria,AUT,2014,.0279927076863987,.0517856469405607
Austria,AUT,2015,.052381218638531,.0517856469405607
Austria,AUT,2016,.0280281288863872,.0517856469405607
Austria,AUT,2017,.0283950522576132,.0517856469405607
Austria,AUT,2018,.0455301460112939,.0517856469405607
Belgium,BEL,2000,.0562403948023925,.0517856469405607
Belgium,BEL,2001,.0412785325983868,.0517856469405607
Belgium,BEL,2002,.0539623660126563,.0517856469405607
Belgium,BEL,2003,.0580044171894507,.0517856469405607
Belgium,BEL,2004,.0379641427498499,.0517856469405607
Belgium,BEL,2005,.0433367299678,.0517856469405607
Belgium,BEL,2006,.0465926761995937,.0517856469405607
Belgium,BEL,2007,.0432291275801862,.0517856469405607
Belgium,BEL,2008,.0217056768105792,.0517856469405607
Belgium,BEL,2009,.0290680450464478,.0517856469405607
Belgium,BEL,2010,.0280010909947168,.0517856469405607
Belgium,BEL,2011,.0484477145581634,.0517856469405607
Belgium,BEL,2012,.0428573757529236,.0517856469405607
Belgium,BEL,2013,.0354320233746361,.0517856469405607
Belgium,BEL,2014,.0497111770871417,.0517856469405607
Belgium,BEL,2015,.0654038397625053,.0517856469405607
Belgium,BEL,2016,.0463001976883942,.0517856469405607
Belgium,BEL,2017,.0443328110279439,.0517856469405607
