theta,cutoff,branch,marginal_effect,se,ci_low,ci_high,critical
-.0337018020080589,-.0157623069664328,low,-.1616953989085226,.1584254814459313,-.4724591613500058,.1490683635329605,1.961576885266042
-.0302733537860339,-.0157623069664328,low,-.130793508882565,.1281485110559376,-.3821666660511521,.1205796482860221,1.961576885266042
-.026844905564009,-.0157623069664328,low,-.0998916188566074,.0978715406659439,-.2918741707522985,.0920909330390837,1.961576885266042
-.023416457341984,-.0157623069664328,low,-.0689897288306498,.0675945702759503,-.2015816754534449,.0636022177921453,1.961576885266042
-.019988009119959,-.0157623069664328,low,-.0380878388046922,.0373175998859566,-.1112891801545913,.0351135025452069,1.961576885266042
-.0165595608979341,-.0157623069664328,low,-.0071859487787346,.0070406294959629,-.0209966848557378,.0066247872982685,1.961576885266042
-.0157623069664328,-.0157623069664328,cutoff,0,0,0,0,1.961576885266042
-.0131311126759091,-.0157623069664328,high,.0001339239073162,.0000961984435673,-.000054776735984,.0003226245506165,1.961576885266042
-.0097026644538842,-.0157623069664328,high,.0003084268634752,.0002215450909046,-.0001261508658874,.0007430045928377,1.961576885266042
-.0062742162318592,-.0157623069664328,high,.0004829298196341,.0003468917382418,-.0001975249957908,.0011633846350589,1.961576885266042
-.0028457680098342,-.0157623069664328,high,.000657432775793,.000472238385579,-.0002688991256941,.0015837646772802,1.961576885266042
.0005826802121907,-.0157623069664328,high,.000831935731952,.0005975850329162,-.0003402732555975,.0020041447195014,1.961576885266042
.0040111284342157,-.0157623069664328,high,.0010064386881109,.0007229316802535,-.0004116473855008,.0024245247617227,1.961576885266042
.0074395766562406,-.0157623069664328,high,.0011809416442699,.0008482783275907,-.0004830215154042,.0028449048039439,1.961576885266042
.0108680248782656,-.0157623069664328,high,.0013554446004288,.0009736249749279,-.0005543956453075,.0032652848461652,1.961576885266042
.0142964731002906,-.0157623069664328,high,.0015299475565878,.0010989716222652,-.0006257697752109,.0036856648883864,1.961576885266042
.0177249213223155,-.0157623069664328,high,.0017044505127467,.0012243182696024,-.0006971439051142,.0041060449306076,1.961576885266042
.0211533695443405,-.0157623069664328,high,.0018789534689056,.0013496649169396,-.0007685180350176,.0045264249728289,1.961576885266042
.0245818177663654,-.0157623069664328,high,.0020534564250646,.0014750115642768,-.000839892164921,.0049468050150501,1.961576885266042
.0280102659883904,-.0157623069664328,high,.0022279593812235,.0016003582116141,-.0009112662948243,.0053671850572714,1.961576885266042
.0314387142104154,-.0157623069664328,high,.0024024623373825,.0017257048589513,-.0009826404247277,.0057875650994926,1.961576885266042
