country_name,iso3,year,vulnerability100,readiness100,growth,inflation_cpi,debt_gdp,reserves,tt,b_it_theta,country_id,mA_hat,spread_saving_component,TA_hat,theta_hat_A,interest_revenue,theta_recomputed_debt_gdp,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,readiness_lag,sample_debt,sample_ready,debt_hinge_low,debt_hinge_high,debt_kink_low,debt_kink_high,ready_hinge_low,ready_hinge_high,ready_kink_low,ready_kink_high,ready_debt_hinge_low,ready_debt_hinge_high,ready_debt_kink_low,ready_debt_kink_high
Australia,AUS,1995,.3268232727050781,.5829214096069336,.0295900011062622,.0462599992752075,.3109700012207031,.0129366302490234,,.3109700012207031,AUS,.0315923412585362,.0098242703997319,-.0430040067502025,-.0331797363504706,.0677430772781372,-.0331797363504706,0,0,-.0179700088500976,1996,.5829214096069336,1995,,0,0,,,,,,,,,,,,
Australia,AUS,1996,.3267949295043945,.5860774612426758,.0396799993515015,.0265300011634827,.2929999923706055,.0144819319248199,,.2929999923706055,AUS,.0274334435111214,.008037998739458,-.0430111149537959,-.0349731162143379,.0630793714523315,-.0349731162143379,0,0,-.0343599891662598,1997,.5860774612426758,1996,.5829214096069336,0,0,,,,,,,,,,,,
Australia,AUS,1997,.3280905532836914,.587919807434082,.0472300004959106,.0022499999403954,.2586400032043457,.0139766407012939,,.2586400032043457,AUS,.0193746411395735,.0050110572464223,-.0426861849042018,-.0376751276577795,.0529903936386108,-.0376751276577795,0,0,-.0220700073242188,1998,.587919807434082,1997,.5860774612426758,0,0,,,,,,,,,,,,
Australia,AUS,1998,.3285287475585937,.5919098281860351,.0468699979782104,.0085900002717972,.2365699958801269,.0116727328300476,,.2365699958801269,AUS,.0142294748255595,.003366266800859,-.0425762899719298,-.0392100231710708,.0403354978561401,-.0392100231710708,0,0,-.0115299987792969,1999,.5919098281860351,1998,.587919807434082,0,0,,,,,,,,,,,,
Australia,AUS,1999,.3286614227294922,.5988552093505859,.0442000007629395,.0140799999237061,.2250399971008301,.0159605991840363,,.2250399971008301,AUS,.0115491008037525,.0025990096113937,-.0425430163082716,-.0399440066968779,.0265623736381531,-.0399440066968779,0,0,-.0304599952697754,2000,.5988552093505859,1999,.5919098281860351,0,0,,,,,,,,,,,,
Australia,AUS,2000,.3286286544799805,.6069406127929687,.0310800004005432,.0445699977874756,.1945800018310547,.0132697021961212,.6747797393798828,.1945800018310547,AUS,.0044983697405218,.0008752927923475,-.04255123427178,-.0416759414794325,.0185470128059387,-.0416759414794325,0,0,-.0238199996948242,2001,.6069406127929687,2000,.5988552093505859,1,1,.0784309883907128,0,.0476029521558175,0,.0670698801555122,0,.0012439459261371,0,.0784309883907128,0,.001454660546065,0
Australia,AUS,2001,.3276745223999024,.6124575042724609,.0258400011062622,.0440700006484985,.1707600021362305,.0128272223472595,.7016764831542969,.1707600021362305,AUS,-.0009419839080109,-.0001608531741442,-.0427905214700031,-.0429513746441473,.0201542520523071,-.0429513746441473,0,0,-.020910005569458,2002,.6124575042724609,2001,.6069406127929687,1,1,.0797064215554276,0,.0488167960203259,0,.068345313320227,0,.0013774486712498,0,.0797064215554276,0,.0016064233102155,0
Australia,AUS,2002,.3280223846435547,.6151788330078125,.0414699983596802,.0304900002479553,.1498499965667724,.0142321288585663,.7144057464599609,.1498499965667724,AUS,-.0058114007458543,-.0008708383818144,-.0427032809470302,-.0435741193288447,.0187742519378662,-.0435741193288447,0,0,-.0181999969482422,2003,.6151788330078125,2002,.6124575042724609,1,1,.080329166240125,0,.0494168027440906,0,.0689680580049244,0,.0012948236966498,0,.080329166240125,0,.0015081200049508,0
Australia,AUS,2003,.3275015640258789,.6199591827392578,.0301799988746643,.0273099994659424,.1316499996185303,.0213041472434998,.713929672241211,.1316499996185303,AUS,-.0099846320999922,-.0013144768121551,-.0428338977756461,-.0441483745878012,.0081334781646729,-.0441483745878012,0,0,-.0127700042724609,2004,.6199591827392578,2003,.6151788330078125,1,1,.0809034214990815,0,.0501568190733803,0,.0695423132638809,0,.0005656208864526,0,.0809034214990815,0,.0006580262122101,0
Australia,AUS,2004,.3267987442016602,.6290117645263672,.0410300016403198,.0234200000762939,.1188799953460693,.0227211856842041,.7830722808837891,.1188799953460693,AUS,-.012886109442972,-.0015319006306094,-.043010158264214,-.0445420588948235,-.0003046922571957,-.0445420588948235,0,0,-.0104799938201904,2005,.6290117645263672,2004,.6199591827392578,1,1,.0812971058061038,0,.0511368359739841,0,.0699359975709032,0,-.0000213089569591,0,.0812971058061038,0,-.0000247705986715,0
