model,equation,cutoff,N,countries,years,first_year,last_year,r2_within,r2_overall,rss,clusters,df_r,cluster_variable,macro_controls,external_controls
DN1_core,debt,.0518083973791474,742,50,20,1999,2018,.33619809,.061513655,1.1526992,50,49,country_id,0,0
DN2_macro,debt,.0518083973791474,742,50,20,1999,2018,.37797219,.093324944,1.0801581,50,49,country_id,1,0
DN3_full,debt,.0518083973791474,742,50,20,1999,2018,.38442823,.10375813,1.0689471,50,49,country_id,1,1
RDN1_core,ready_debt,.0518083973791474,742,50,20,1999,2018,.20284899,.19134592,.19937262,50,49,country_id,0,0
RDN2_macro,ready_debt,.0518083973791474,742,50,20,1999,2018,.2122952,.19777738,.19701007,50,49,country_id,1,0
RDN3_full,ready_debt,.0518083973791474,742,50,20,1999,2018,.21274355,.19740193,.19689794,50,49,country_id,1,1
