equation,cutoff,coefficient_low,p_low,coefficient_high,p_high,product_ab,opposite_sign
debt,.2430797517464029,.25895864,.0029139302,-.13756253,1.9827778e-06,-.035623003,1
ready_debt,.2430797517464029,-.00036978893,.9750104,.020872913,.39615846,-7.7185723e-06,1
