criterion,variable,cutoff,beta_L,p_L,beta_H,p_H,theoretical_signs,rss,r2_within,N,N_low,N_high,candidate_count,trim_low,trim_high,clusters,cluster_variable
TA,TA_hat,.0135049571003219,.2503420803856858,.7995481680848884,-2.086854073999912,.011461261163644,"Match (+,-)",1.694752609851316,.2535460337901183,996,648,348,798,-.0021267864615554,.0279726356624113,52,country_id
b_pre,b_pre,1.000270004272461,.1923125347287741,5.73480049844e-09,-.1440576665836102,.0000777225120216,"Match (+,-)",1.358764872774962,.3632665099292974,984,885,99,784,.2110099983215332,1.000749969482422,52,country_id
b_pre*mA,b_pre_mA_hat,-.0353547478642713,-1.707978911489421,.0000163755424916,4.906409113523118,.000019040317024,"No (-,+)",1.061424819797117,.3887600520560867,742,75,667,593,-.0353547478642713,-.0037890993324795,50,country_id
mA,mA_hat,-.0336640470453106,-6.381157543255021,9.73031838799e-06,8.565511530880583,1.19966512748e-06,"No (-,+)",1.063837709599875,.3873705474864515,742,75,667,593,-.0336640470453106,-.0146476845773112,50,country_id
theta,theta_hat_A,-.0250271468600635,-2.263365215823643,.0173986722254719,3.415857726174344,4.49603831723e-06,"No (-,+)",1.096934323942764,.3683112863397848,742,75,667,593,-.0250271468600635,.0141291677749355,50,country_id
