equation,variable,missing_total,missing_rate,exclusive_loss
debt,delta_debt_lead,174,8.8235292,65
debt,readiness100,58,2.9411764,0
debt,theta_hat_A,153,7.7586207,0
debt,b_it_theta,106,5.3752537,0
debt,vulnerability100,58,2.9411764,0
debt,growth,11,.55780935,1
debt,inflation_cpi,7,.35496956,2
debt,reserves,76,3.8539553,26
debt,tt,242,12.271805,159
ready,J_readiness,124,6.2880325,0
ready,interest_revenue,149,7.5557809,34
ready,readiness100,58,2.9411764,0
ready,theta_hat_A,153,7.7586207,9
ready,readiness_lag,124,6.2880325,0
ready,vulnerability100,58,2.9411764,0
ready,growth,11,.55780935,1
ready,inflation_cpi,7,.35496956,1
ready,reserves,76,3.8539553,27
ready,tt,242,12.271805,129
ready,ln_currentgdp,2,.10141988,0
