model,equation,cutoff,N,countries,years,first_year,last_year,r2_within,r2_overall,df_r,macro_controls,external_controls
D1_core,debt,.0149664248780058,1552,65,28,1995,2022,.14042643,.0060914466,1456,0,0
D2_macro,debt,.0149664248780058,1552,65,28,1995,2022,.16909993,.0064734076,1453,1,0
D3_full,debt,.0149664248780058,1552,65,28,1995,2022,.16917102,.0060992199,1451,1,1
R1_core,ready,.1094576124163948,1571,64,28,1996,2023,.20747899,.019930253,1476,0,0
R2_macro,ready,.1094576124163948,1571,64,28,1996,2023,.20967078,.026384778,1473,1,0
R3_full,ready,.1094576124163948,1571,64,28,1996,2023,.21020167,.02681756,1471,1,1
