equation,rss_min_cutoff,rss,candidate_count,trim_low,trim_high,low_n,high_n,theta_min,theta_max
debt,-.0261398594973546,3.9633892,1241,-.02621031,.13458799,156,1396,-.044901125,1.1774683
ready,.0256571135175432,.41332671,1256,-.026366469,.1324334,922,649,-.044901125,1.1774683
