country_name,iso3,year,capacity,growth,inflation_cpi,debt_gdp,reserves,tt,interest_revenue,wsdi_days,adapt_capacity,country_id,b_pre,sample_spread,sample_tax,mA_hat,spread_saving_component,TA_hat,theta_hat_A,sample_theta_support,b_pre_mA_hat,theta_recomputed_b_pre,theta_reconstruction_diff,b_pre_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,sample_debt_ns,sample_ready_ns,sample_criterion_theta,sample_criterion_debt,sample_criterion_ma,sample_criterion_ta,sample_criterion_bma,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Australia,AUS,1995,.3510872721672058,.0295900011062622,.0462599992752075,.3109700012207031,.0393684101104736,,.0677430772781372,.0827267262040537,.6489127278327942,AUS,,0,0,,,,,0,,,,,-.0179700088500976,1996,,,0,0,0,0,0,0,0,,,,,,,,
Australia,AUS,1996,.350160539150238,.0396799993515015,.0265300011634827,.2929999923706055,.0409153127670288,,.0630793714523315,.0508710866766693,.649839460849762,AUS,.3109700012207031,0,0,,,,,0,,,,0,-.0343599891662598,1997,.0009267330169678,1996,0,0,0,0,0,0,0,,,,,,,,
Australia,AUS,1997,.353869765996933,.0472300004959106,.0022499999403954,.2586400032043457,.0411794090270996,,.0529903936386108,.0429568720750743,.646130234003067,AUS,.2929999923706055,0,0,,,,,0,,,,0,-.0220700073242188,1998,-.0037092268466949,1997,0,0,0,0,0,0,0,,,,,,,,
Australia,AUS,1998,.3551079034805298,.0468699979782104,.0085900002717972,.2365699958801269,.0402388381958008,,.0403354978561401,.1308506991599911,.6448920965194702,AUS,.2586400032043457,0,0,,,,,0,,,,0,-.0115299987792969,1999,-.0012381374835968,1998,0,0,0,0,0,0,0,,,,,,,,
Australia,AUS,1999,.3550215065479279,.0442000007629395,.0140799999237061,.2250399971008301,.0532002925872803,,.0265623736381531,.0409553859285239,.6449784934520721,AUS,.2365699958801269,0,0,,,,,0,,,,0,-.0304599952697754,2000,.0000863969326019,1999,0,0,0,0,0,0,0,,,,,,,,
Australia,AUS,2000,.3548656404018402,.0310800004005432,.0445699977874756,.1945800018310547,.0469314908981323,.6747797393798828,.0185470128059387,.0339377581145743,.6451343595981598,AUS,.2250399971008301,1,1,-.0128122744823957,-.0028832742123734,-.0038894013725848,-.0067726755849582,1,-.0028832742123734,-.0067726755849582,0,0,-.0238199996948242,2001,.0001558661460876,2000,1,1,1,1,1,1,1,0,.0182544712751053,0,.0117765866358681,0,.0182544712751053,0,.000338565912505
Australia,AUS,2001,.3524959087371826,.0258400011062622,.0440700006484985,.1707600021362305,.0492744541168213,.7016764831542969,.0201542520523071,.0665962926966363,.6475040912628174,AUS,.1945800018310547,1,1,-.0125695205287184,-.0024457773274935,-.0002112944623711,-.0026570717898646,1,-.0024457773274935,-.0026570717898646,0,0,-.020910005569458,2002,.0023697316646576,2001,1,1,1,1,1,1,1,0,.0223700750701989,0,.0144847151298101,0,.0223700750701989,0,.0004508521313938
Australia,AUS,2002,.3552150130271912,.0414699983596802,.0304900002479553,.1498499965667724,.0505998277664185,.7144057464599609,.0187742519378662,.1760760325028979,.6447849869728088,AUS,.1707600021362305,1,1,-.0135702947906257,-.0023172635674365,.0121186582640131,.0098013946965766,1,-.0023172635674365,.0098013946965766,0,0,-.0181999969482422,2003,-.0027191042900085,2002,1,1,1,1,1,1,1,0,.0348285415566401,0,.0224569207138801,0,.0348285415566401,0,.0006538798138128
Australia,AUS,2003,.3544506728649139,.0301799988746643,.0273099994659424,.1316499996185303,.0613590478897095,.713929672241211,.0081334781646729,.0797213754119544,.6455493271350861,AUS,.1498499965667724,1,1,-.0117189633600688,-.0017560866192724,.0012668936452745,-.0004891929739979,1,-.0017560866192724,-.0004891929739979,0,0,-.0127700042724609,2004,.0007643401622772,2003,1,1,1,1,1,1,1,0,.0245379538860656,0,.0158404596204214,0,.0245379538860656,0,.0001995789121381
Australia,AUS,2004,.353886604309082,.0410300016403198,.0234200000762939,.1188799953460693,.0559649991989136,.7830722808837891,-.0003046922571957,.0931815298227914,.646113395690918,AUS,.1316499996185303,1,1,-.0114880542113911,-.0015124023325473,.0027828185814239,.0012704162488766,1,-.0015124023325473,.0012704162488766,0,0,-.0104799938201904,2005,.0005640685558319,2004,1,1,1,1,1,1,1,0,.0262975631089401,0,.0169912077987135,0,.0262975631089401,0,-8.01266386241e-06
