theta,cutoff,branch,marginal_effect,se,ci_low,ci_high,critical
-.0457006649575294,.0212436177110673,low,-.1003250856371876,.0344756609228896,-.1679565954700143,-.0326935758043609,1.961717571828298
-.0423586378947923,.0212436177110673,low,-.0953166048841602,.0327545491682021,-.1595717795447362,-.0310614302235842,1.961717571828298
-.0390166108320553,.0212436177110673,low,-.0903081241311328,.0310334374135146,-.1511869636194581,-.0294292846428074,1.961717571828298
-.0356745837693183,.0212436177110673,low,-.0852996433781054,.0293123256588271,-.1428021476941801,-.0277971390620307,1.961717571828298
-.0323325567065812,.0212436177110673,low,-.080291162625078,.0275912139041397,-.134417331768902,-.026164993481254,1.961717571828298
-.0289905296438442,.0212436177110673,low,-.0752826818720506,.0258701021494522,-.126032515843624,-.0245328479004772,1.961717571828298
-.0256485025811071,.0212436177110673,low,-.0702742011190232,.0241489903947647,-.1176476999183459,-.0229007023197005,1.961717571828298
-.0223064755183701,.0212436177110673,low,-.0652657203659958,.0224278786400772,-.1092628839930679,-.0212685567389237,1.961717571828298
-.0189644484556331,.0212436177110673,low,-.0602572396129684,.0207067668853898,-.1008780680677898,-.019636411158147,1.961717571828298
-.015622421392896,.0212436177110673,low,-.055248758859941,.0189856551307023,-.0924932521425118,-.0180042655773702,1.961717571828298
-.012280394330159,.0212436177110673,low,-.0502402781069136,.0172645433760148,-.0841084362172337,-.0163721199965935,1.961717571828298
-.0089383672674219,.0212436177110673,low,-.0452317973538862,.0155434316213273,-.0757236202919556,-.0147399744158168,1.961717571828298
-.0055963402046849,.0212436177110673,low,-.0402233166008588,.0138223198666399,-.0673388043666776,-.01310782883504,1.961717571828298
-.0022543131419479,.0212436177110673,low,-.0352148358478314,.0121012081119524,-.0589539884413995,-.0114756832542633,1.961717571828298
.0010877139207892,.0212436177110673,low,-.030206355094804,.0103800963572649,-.0505691725161215,-.0098435376734865,1.961717571828298
.0044297409835262,.0212436177110673,low,-.0251978743417766,.0086589846025774,-.0421843565908434,-.0082113920927098,1.961717571828298
.0077717680462633,.0212436177110673,low,-.0201893935887492,.00693787284789,-.0337995406655654,-.006579246511933,1.961717571828298
.0111137951090003,.0212436177110673,low,-.0151809128357218,.0052167610932025,-.0254147247402873,-.0049471009311563,1.961717571828298
.0144558221717374,.0212436177110673,low,-.0101724320826944,.003495649338515,-.0170299088150093,-.0033149553503796,1.961717571828298
.0177978492344744,.0212436177110673,low,-.005163951329667,.0017745375838275,-.0086450928897312,-.0016828097696028,1.961717571828298
.0211398762972114,.0212436177110673,low,-.0001554705766396,.0000534258291401,-.0002602769644532,-.0000506641888261,1.961717571828298
.0212436177110673,.0212436177110673,cutoff,0,0,0,0,1.961717571828298
.0244819033599485,.0212436177110673,high,.0001584486499924,.0001401506056322,-.0001164872557787,.0004333845557636,1.961717571828298
.0278239304226855,.0212436177110673,high,.000321973346003,.0002847910628581,-.0002367062863053,.0008806529783113,1.961717571828298
.0311659574854226,.0212436177110673,high,.0004854980420137,.0004294315200839,-.0003569253168318,.0013279214008591,1.961717571828298
.0345079845481596,.0212436177110673,high,.0006490227380243,.0005740719773097,-.0004771443473583,.0017751898234069,1.961717571828298
.0378500116108967,.0212436177110673,high,.0008125474340349,.0007187124345355,-.0005973633778848,.0022224582459547,1.961717571828298
.0411920386736337,.0212436177110673,high,.0009760721300455,.0008633528917613,-.0007175824084114,.0026697266685024,1.961717571828298
.0445340657363707,.0212436177110673,high,.0011395968260561,.0010079933489871,-.0008378014389379,.0031169950910502,1.961717571828298
.0478760927991078,.0212436177110673,high,.0013031215220668,.0011526338062129,-.0009580204694644,.003564263513598,1.961717571828298
.0512181198618448,.0212436177110673,high,.0014666462180774,.0012972742634387,-.001078239499991,.0040115319361457,1.961717571828298
.0545601469245819,.0212436177110673,high,.001630170914088,.0014419147206645,-.0011984585305175,.0044588003586935,1.961717571828298
.0579021739873189,.0212436177110673,high,.0017936956100986,.0015865551778903,-.001318677561044,.0049060687812413,1.961717571828298
.0612442010500559,.0212436177110673,high,.0019572203061092,.0017311956351161,-.0014388965915706,.005353337203789,1.961717571828298
.064586228112793,.0212436177110673,high,.0021207450021199,.001875836092342,-.0015591156220971,.0058006056263368,1.961717571828298
.06792825517553,.0212436177110673,high,.0022842696981305,.0020204765495678,-.0016793346526236,.0062478740488846,1.961717571828298
.0712702822382671,.0212436177110673,high,.0024477943941411,.0021651170067936,-.0017995536831501,.0066951424714323,1.961717571828298
.0746123093010041,.0212436177110673,high,.0026113190901517,.0023097574640194,-.0019197727136767,.0071424108939801,1.961717571828298
.0779543363637411,.0212436177110673,high,.0027748437861623,.0024543979212452,-.0020399917442032,.0075896793165279,1.961717571828298
.0812963634264782,.0212436177110673,high,.002938368482173,.002599038378471,-.0021602107747297,.0080369477390756,1.961717571828298
.0846383904892152,.0212436177110673,high,.0031018931781836,.0027436788356968,-.0022804298052563,.0084842161616234,1.961717571828298
.0879804175519523,.0212436177110673,high,.0032654178741942,.0028883192929226,-.0024006488357828,.0089314845841712,1.961717571828298
.0913224446146893,.0212436177110673,high,.0034289425702048,.0030329597501484,-.0025208678663093,.0093787530067189,1.961717571828298
.0946644716774264,.0212436177110673,high,.0035924672662154,.0031776002073742,-.0026410868968358,.0098260214292667,1.961717571828298
.0980064987401634,.0212436177110673,high,.003755991962226,.0033222406646,-.0027613059273624,.0102732898518145,1.961717571828298
.1013485258029004,.0212436177110673,high,.0039195166582367,.0034668811218259,-.0028815249578889,.0107205582743622,1.961717571828298
.1046905528656375,.0212436177110673,high,.0040830413542473,.0036115215790517,-.0030017439884154,.01116782669691,1.961717571828298
.1080325799283745,.0212436177110673,high,.0042465660502579,.0037561620362775,-.003121963018942,.0116150951194578,1.961717571828298
.1113746069911116,.0212436177110673,high,.0044100907462685,.0039008024935033,-.0032421820494685,.0120623635420055,1.961717571828298
.1147166340538486,.0212436177110673,high,.0045736154422791,.0040454429507291,-.003362401079995,.0125096319645533,1.961717571828298
.1180586611165856,.0212436177110673,high,.0047371401382898,.0041900834079549,-.0034826201105216,.0129569003871011,1.961717571828298
.1214006881793227,.0212436177110673,high,.0049006648343004,.0043347238651807,-.0036028391410481,.0134041688096488,1.961717571828298
.1247427152420597,.0212436177110673,high,.005064189530311,.0044793643224065,-.0037230581715746,.0138514372321966,1.961717571828298
