country_name,iso3,year,readiness100,debt_gdp,interest_revenue,wsdi_days,country_id,b_it,sample_spread,sample_tax,mA_hat,spread_saving_component,TA_hat,theta_hat_A,sample_theta_support,b_it_mA_hat,theta_recomputed_b_it,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,debt_ns_missing_count,ready_ns_missing_count,sample_debt_ns,sample_ready_ns,sample_criterion_theta,sample_criterion_debt,sample_criterion_ma,sample_criterion_ta,sample_criterion_bma,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Australia,AUS,1995,.5829214096069336,.3109700012207031,.0677430772781372,.0827267262040537,AUS,.3109700012207031,0,0,,,,,0,,,,0,-.0179700088500976,1996,,,2,3,0,0,0,0,0,0,0,,,,,,,,
Australia,AUS,1996,.5860774612426758,.2929999923706055,.0630793714523315,.0508710866766693,AUS,.2929999923706055,0,0,,,,,0,,,,0,-.0343599891662598,1997,.0031560516357422,1996,2,2,0,0,0,0,0,0,0,,,,,,,,
Australia,AUS,1997,.587919807434082,.2586400032043457,.0529903936386108,.0429568720750743,AUS,.2586400032043457,0,0,,,,,0,,,,0,-.0220700073242188,1998,.0018423461914062,1997,2,2,0,0,0,0,0,0,0,,,,,,,,
Australia,AUS,1998,.5919098281860351,.2365699958801269,.0403354978561401,.1308506991599911,AUS,.2365699958801269,0,0,,,,,0,,,,0,-.0115299987792969,1999,.0039900207519531,1998,2,2,0,0,0,0,0,0,0,,,,,,,,
Australia,AUS,1999,.5988552093505859,.2250399971008301,.0265623736381531,.0409553859285239,AUS,.2250399971008301,0,0,,,,,0,,,,0,-.0304599952697754,2000,.0069453811645508,1999,2,2,0,0,0,0,0,0,0,,,,,,,,
Australia,AUS,2000,.6069406127929687,.1945800018310547,.0185470128059387,.0339377581145743,AUS,.1945800018310547,1,1,-.0029498249099785,-.0005739769363849,-.029396138092943,-.0299701150293279,1,-.0005739769363849,-.0299701150293279,0,0,-.0238199996948242,2001,.0080854034423828,2000,0,0,1,1,1,1,1,1,1,.0145936217185455,0,.0088574617087228,0,.0145936217185455,0,.0002706680888989,0
Australia,AUS,2001,.6124575042724609,.1707600021362305,.0201542520523071,.0665962926966363,AUS,.1707600021362305,1,1,-.0050693247951129,-.0008656379128427,-.0258200587881519,-.0266856967009947,1,-.0008656379128427,-.0266856967009947,0,0,-.020910005569458,2002,.0055168914794922,2001,0,0,1,1,1,1,1,1,1,.0113092033902123,0,.0069264064836791,0,.0113092033902123,0,.0002279285356371,0
Australia,AUS,2002,.6151788330078125,.1498499965667724,.0187742519378662,.1760760325028979,AUS,.1498499965667724,1,1,-.0068731646084465,-.0010299436929786,-.013832128624558,-.0148620723175365,1,-.0010299436929786,-.0148620723175365,0,0,-.0181999969482422,2003,.0027213287353516,2002,0,0,1,1,1,1,1,1,1,0,.0005144209932459,0,.0003164609062997,0,.0005144209932459,0,9.65786932933e-06
Australia,AUS,2003,.6199591827392578,.1316499996185303,.0081334781646729,.0797213754119544,AUS,.1316499996185303,1,1,-.0085777555537095,-.0011292615153737,-.0243828743806893,-.025512135896063,1,-.0011292615153737,-.025512135896063,0,0,-.0127700042724609,2004,.0047803497314453,2003,0,0,1,1,1,1,1,1,1,.0101356425852806,0,.0062836846937078,0,.0101356425852806,0,.0000824380276523,0
Australia,AUS,2004,.6290117645263672,.1188799953460693,-.0003046922571957,.0931815298227914,AUS,.1188799953460693,1,1,-.0097168704091014,-.0011551415090123,-.0229089999327426,-.0240641414417549,1,-.0011551415090123,-.0240641414417549,0,0,-.0104799938201904,2005,.0090525817871094,2004,0,0,1,1,1,1,1,1,1,.0086876481309725,0,.0054646328804472,0,.0086876481309725,0,-2.64705911875e-06,0
