criterion,variable,cutoff,rss,N,N_low,N_high
TA,TA_hat,-.0474534599762844,10.033986,1373,240,1133
TA,TA_hat,-.047428806085759,10.033829,1373,241,1132
TA,TA_hat,-.0474261512721693,10.03381,1373,241,1132
TA,TA_hat,-.0474229798462053,10.033784,1373,242,1131
TA,TA_hat,-.0474011577568423,10.033594,1373,244,1129
TA,TA_hat,-.0473548587645266,10.033223,1373,245,1128
TA,TA_hat,-.0473404366690796,10.033133,1373,245,1128
TA,TA_hat,-.0473146156172643,10.032949,1373,246,1127
TA,TA_hat,-.0473138454821509,10.032945,1373,247,1126
TA,TA_hat,-.0472976917785606,10.032922,1373,248,1125
TA,TA_hat,-.0472918751059027,10.032927,1373,249,1124
TA,TA_hat,-.0472811410487939,10.032947,1373,250,1123
TA,TA_hat,-.0472810358129398,10.032947,1373,252,1121
TA,TA_hat,-.0472639876045905,10.032999,1373,253,1120
TA,TA_hat,-.0471971341366078,10.033231,1373,254,1119
TA,TA_hat,-.0471704568476168,10.033276,1373,254,1119
TA,TA_hat,-.0471668788285805,10.03328,1373,255,1118
TA,TA_hat,-.0471607129642252,10.033273,1373,256,1117
TA,TA_hat,-.0471440761323961,10.033265,1373,257,1116
TA,TA_hat,-.0471012164391272,10.033214,1373,259,1114
TA,TA_hat,-.0470931754631914,10.033215,1373,260,1113
TA,TA_hat,-.0470911711985174,10.033214,1373,260,1113
TA,TA_hat,-.047085588914807,10.033198,1373,262,1111
TA,TA_hat,-.0470003239558208,10.032914,1373,263,1110
TA,TA_hat,-.0469560961964499,10.0327,1373,264,1109
TA,TA_hat,-.0469485144315134,10.032643,1373,265,1108
TA,TA_hat,-.046915460806459,10.03246,1373,266,1107
TA,TA_hat,-.0469126290052966,10.032439,1373,267,1106
TA,TA_hat,-.046835414589142,10.031832,1373,268,1105
TA,TA_hat,-.0468067186851332,10.03156,1373,268,1105
TA,TA_hat,-.046786489483924,10.031376,1373,270,1103
TA,TA_hat,-.0467808832829742,10.031305,1373,270,1103
TA,TA_hat,-.0466824686256848,10.03019,1373,272,1101
TA,TA_hat,-.0466722798816377,10.030071,1373,272,1101
TA,TA_hat,-.0466631913306097,10.029957,1373,273,1100
TA,TA_hat,-.0466494819689012,10.029768,1373,274,1099
TA,TA_hat,-.0466322089385001,10.02951,1373,275,1098
TA,TA_hat,-.046547833700825,10.028256,1373,277,1096
TA,TA_hat,-.0465438921397476,10.028193,1373,278,1095
TA,TA_hat,-.0465188938409728,10.027769,1373,278,1095
TA,TA_hat,-.0465034241704336,10.027536,1373,279,1094
TA,TA_hat,-.0464795595488132,10.027117,1373,281,1092
TA,TA_hat,-.0464346429729434,10.026394,1373,281,1092
TA,TA_hat,-.0464310458201155,10.026335,1373,282,1091
TA,TA_hat,-.0464176138983857,10.026077,1373,283,1090
TA,TA_hat,-.0463844741712689,10.025424,1373,285,1088
TA,TA_hat,-.0463454268859839,10.024717,1373,286,1087
TA,TA_hat,-.0463297658775284,10.024411,1373,286,1087
TA,TA_hat,-.0463266566363872,10.024346,1373,288,1085
TA,TA_hat,-.0463256760295658,10.024324,1373,288,1085
TA,TA_hat,-.0463023041030801,10.023734,1373,290,1083
TA,TA_hat,-.0462801232551239,10.023152,1373,291,1082
TA,TA_hat,-.0462783007614704,10.0231,1373,292,1081
TA,TA_hat,-.0462354889026807,10.021793,1373,293,1080
TA,TA_hat,-.0462266777916315,10.021509,1373,293,1080
TA,TA_hat,-.0461694677546343,10.019681,1373,295,1078
TA,TA_hat,-.0460490348866177,10.016033,1373,296,1077
TA,TA_hat,-.0460473319791619,10.01598,1373,297,1076
TA,TA_hat,-.0460443375407706,10.015888,1373,298,1075
TA,TA_hat,-.0460162443511983,10.015111,1373,299,1074
TA,TA_hat,-.0459990430725159,10.014646,1373,300,1073
TA,TA_hat,-.0459489077549768,10.013434,1373,301,1072
TA,TA_hat,-.045944722238056,10.013334,1373,302,1071
TA,TA_hat,-.0458716502877911,10.011607,1373,302,1071
TA,TA_hat,-.0458610453837758,10.011353,1373,303,1070
TA,TA_hat,-.0458544777097961,10.011183,1373,304,1069
TA,TA_hat,-.0458267145781295,10.010425,1373,306,1067
TA,TA_hat,-.0458257244044123,10.010398,1373,306,1067
TA,TA_hat,-.0458077003726894,10.009891,1373,308,1065
TA,TA_hat,-.0457698585162776,10.00881,1373,309,1064
TA,TA_hat,-.0457620949803206,10.008578,1373,309,1064
TA,TA_hat,-.0457524898169184,10.008297,1373,310,1063
TA,TA_hat,-.0457512891714931,10.008258,1373,312,1061
TA,TA_hat,-.0457481847137999,10.008159,1373,312,1061
TA,TA_hat,-.0457478450889983,10.008147,1373,313,1060
TA,TA_hat,-.0457393831696464,10.007874,1373,315,1058
TA,TA_hat,-.0457152698087348,10.007092,1373,316,1057
TA,TA_hat,-.0456665934428081,10.005471,1373,317,1056
TA,TA_hat,-.045633051906067,10.004246,1373,317,1056
TA,TA_hat,-.0456159080287594,10.003513,1373,319,1054
TA,TA_hat,-.0456156353722286,10.0035,1373,320,1053
TA,TA_hat,-.0455797260287722,10.0017,1373,321,1052
TA,TA_hat,-.0455785732178261,10.001641,1373,321,1052
TA,TA_hat,-.0455782144592329,10.001624,1373,322,1051
TA,TA_hat,-.045576411099371,10.001541,1373,323,1050
TA,TA_hat,-.0455738519547394,10.001424,1373,325,1048
TA,TA_hat,-.0455628021900686,10.000884,1373,325,1048
TA,TA_hat,-.0455380239298975,9.9997015,1373,327,1046
TA,TA_hat,-.0455179382321257,9.9987803,1373,327,1046
TA,TA_hat,-.0455104282189078,9.9984198,1373,329,1044
TA,TA_hat,-.0454968384433971,9.997736,1373,329,1044
TA,TA_hat,-.045493777036735,9.9975767,1373,331,1042
TA,TA_hat,-.0454624167522406,9.9959183,1373,331,1042
TA,TA_hat,-.0454596184352135,9.9957695,1373,333,1040
TA,TA_hat,-.0454501472083528,9.9952793,1373,333,1040
TA,TA_hat,-.0454169118122778,9.9936123,1373,335,1038
TA,TA_hat,-.0454109372858389,9.9933119,1373,335,1038
TA,TA_hat,-.0454074740695524,9.9931355,1373,337,1036
TA,TA_hat,-.0454055128559095,9.9930363,1373,338,1035
TA,TA_hat,-.045399834903241,9.9927464,1373,339,1034
TA,TA_hat,-.0453878810669153,9.9921064,1373,339,1034
TA,TA_hat,-.0453738751314364,9.991334,1373,340,1033
TA,TA_hat,-.0453633706798272,9.990654,1373,341,1032
TA,TA_hat,-.0453338615896737,9.9887028,1373,342,1031
TA,TA_hat,-.0452908631764155,9.9856291,1373,344,1029
TA,TA_hat,-.0452769481264469,9.9846401,1373,344,1029
TA,TA_hat,-.0452605983014923,9.9834166,1373,346,1027
TA,TA_hat,-.0452354086648011,9.9815025,1373,346,1027
TA,TA_hat,-.045152301040822,9.9750443,1373,348,1025
TA,TA_hat,-.0450657445509003,9.9683809,1373,348,1025
TA,TA_hat,-.0448315995591799,9.9503736,1373,350,1023
TA,TA_hat,-.0448224583902249,9.9496508,1373,351,1022
TA,TA_hat,-.044818703383616,9.9493494,1373,352,1021
TA,TA_hat,-.0446712966528379,9.937192,1373,353,1020
TA,TA_hat,-.0446415723075285,9.9350357,1373,354,1019
TA,TA_hat,-.0444033470347414,9.9176979,1373,354,1019
TA,TA_hat,-.0443466057756393,9.9136467,1373,356,1017
TA,TA_hat,-.0443282947370419,9.9123182,1373,356,1017
TA,TA_hat,-.0443172832399543,9.9115543,1373,358,1015
TA,TA_hat,-.0442913760860766,9.909296,1373,359,1014
TA,TA_hat,-.0442074744097446,9.9020195,1373,360,1013
TA,TA_hat,-.0441597738671914,9.8978281,1373,361,1012
TA,TA_hat,-.0440486830729421,9.8872194,1373,361,1012
TA,TA_hat,-.0440397475922472,9.8863573,1373,362,1011
TA,TA_hat,-.0440004659180146,9.8824415,1373,364,1009
TA,TA_hat,-.0439943144040031,9.8818188,1373,364,1009
TA,TA_hat,-.0439656232834421,9.87889,1373,366,1007
TA,TA_hat,-.0439343299672184,9.8760834,1373,366,1007
TA,TA_hat,-.0438905231512635,9.8722343,1373,368,1005
TA,TA_hat,-.0438283000608572,9.8673954,1373,369,1004
TA,TA_hat,-.0438119980703817,9.8660345,1373,370,1003
TA,TA_hat,-.0438026894807499,9.8652706,1373,371,1002
TA,TA_hat,-.0437959639529892,9.8648338,1373,372,1001
TA,TA_hat,-.0436647731106242,9.8583593,1373,373,1000
TA,TA_hat,-.0436430945246985,9.8573828,1373,374,999
TA,TA_hat,-.0436129205352857,9.8562555,1373,374,999
TA,TA_hat,-.0435807566315424,9.8550997,1373,376,997
TA,TA_hat,-.0435321281000948,9.8528233,1373,377,996
TA,TA_hat,-.0435222263629222,9.8522005,1373,378,995
TA,TA_hat,-.0435212218388612,9.8521357,1373,379,994
TA,TA_hat,-.0434437873841028,9.8472443,1373,380,993
TA,TA_hat,-.0433374609039712,9.8397932,1373,381,992
TA,TA_hat,-.0432909944909787,9.8361931,1373,381,992
TA,TA_hat,-.043270425664968,9.8346071,1373,383,990
TA,TA_hat,-.0432612127442944,9.8339262,1373,383,990
TA,TA_hat,-.0432609831387947,9.83391,1373,385,988
TA,TA_hat,-.0432372381033721,9.8321981,1373,386,987
TA,TA_hat,-.0432136939727617,9.8304195,1373,387,986
TA,TA_hat,-.0430969491430834,9.8215942,1373,387,986
TA,TA_hat,-.0430850383577888,9.8207283,1373,388,985
TA,TA_hat,-.0430798818009424,9.8203506,1373,389,984
TA,TA_hat,-.0430713002953928,9.8196182,1373,391,982
TA,TA_hat,-.0430646800034861,9.8190413,1373,392,981
TA,TA_hat,-.0430465411690134,9.817441,1373,393,980
TA,TA_hat,-.0430436902340594,9.8171949,1373,393,980
TA,TA_hat,-.0430319133853063,9.816205,1373,394,979
TA,TA_hat,-.043010158264214,9.8144045,1373,396,977
TA,TA_hat,-.0430008114069989,9.8136501,1373,397,976
TA,TA_hat,-.0429948607977996,9.8131838,1373,397,976
TA,TA_hat,-.0429945355233417,9.813158,1373,399,974
TA,TA_hat,-.0429440414472094,9.8091564,1373,400,973
TA,TA_hat,-.0429359765540341,9.8085241,1373,400,973
TA,TA_hat,-.0429321976301856,9.8082294,1373,401,972
TA,TA_hat,-.0429302651172302,9.8080816,1373,402,971
TA,TA_hat,-.0429271845767765,9.8078489,1373,403,970
TA,TA_hat,-.0428580637544847,9.8025723,1373,405,968
TA,TA_hat,-.0428338977756461,9.8008242,1373,405,968
TA,TA_hat,-.0428148118184873,9.7994728,1373,407,966
TA,TA_hat,-.0428050057502729,9.7987585,1373,408,965
TA,TA_hat,-.0427962807412861,9.7981291,1373,408,965
TA,TA_hat,-.0427905214700031,9.7977133,1373,409,964
TA,TA_hat,-.0427750039649848,9.796566,1373,410,963
TA,TA_hat,-.042761151099839,9.7955399,1373,411,962
TA,TA_hat,-.0427543107693284,9.7950268,1373,413,960
TA,TA_hat,-.0427379609443739,9.7938223,1373,413,960
TA,TA_hat,-.0427308527407804,9.7932911,1373,415,958
TA,TA_hat,-.0427272364541608,9.7930489,1373,416,957
TA,TA_hat,-.0427140915393056,9.7921743,1373,417,956
