country_name,iso3,year,vulnerability100,readiness100,debt_gdp,b_it_theta,country_id,mA_hat,spread_saving_component,TA_hat,theta_hat_A,interest_revenue,bmA_hat,theta_recomputed_debt_gdp,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,debt_ns_missing_count,ready_ns_missing_count,sample_debt_ns,sample_ready_ns,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Australia,AUS,1995,.3268232727050781,.5829214096069336,.3109700012207031,.3109700012207031,AUS,.0315923412585362,.0098242703997319,-.0430040067502025,-.0331797363504706,.0677430772781372,.0098242703997319,-.0331797363504706,0,0,-.0523299980163574,1997,.5860774612426758,1996,1,1,0,0,,,,,,,,
Australia,AUS,1996,.3267949295043945,.5860774612426758,.2929999923706055,.2929999923706055,AUS,.0274334435111214,.008037998739458,-.0430111149537959,-.0349731162143379,.0630793714523315,.008037998739458,-.0349731162143379,0,0,-.0564299964904785,1998,.587919807434082,1997,1,1,0,0,,,,,,,,
Australia,AUS,1997,.3280905532836914,.587919807434082,.2586400032043457,.2586400032043457,AUS,.0193746411395735,.0050110572464223,-.0426861849042018,-.0376751276577795,.0529903936386108,.0050110572464223,-.0376751276577795,0,0,-.0336000061035156,1999,.5919098281860351,1998,1,1,0,0,,,,,,,,
Australia,AUS,1998,.3285287475585937,.5919098281860351,.2365699958801269,.2365699958801269,AUS,.0142294748255595,.003366266800859,-.0425762899719298,-.0392100231710708,.0403354978561401,.003366266800859,-.0392100231710708,0,0,-.0419899940490722,2000,.5988552093505859,1999,1,1,0,0,,,,,,,,
Australia,AUS,1999,.3286614227294922,.5988552093505859,.2250399971008301,.2250399971008301,AUS,.0115491008037525,.0025990096113937,-.0425430163082716,-.0399440066968779,.0265623736381531,.0025990096113937,-.0399440066968779,0,0,-.0542799949645996,2001,.6069406127929687,2000,1,1,0,0,,,,,,,,
Australia,AUS,2000,.3286286544799805,.6069406127929687,.1945800018310547,.1945800018310547,AUS,.0044983697405218,.0008752927923475,-.04255123427178,-.0416759414794325,.0185470128059387,.0008752927923475,-.0416759414794325,0,0,-.0447300052642823,2002,.6124575042724609,2001,0,0,1,1,.118357505394391,0,.0718359768527188,0,.118357505394391,0,.0021951781682287,0
Australia,AUS,2001,.3276745223999024,.6124575042724609,.1707600021362305,.1707600021362305,AUS,-.0009419839080109,-.0001608531741442,-.0427905214700031,-.0429513746441473,.0201542520523071,-.0001608531741442,-.0429513746441473,0,0,-.0391100025177002,2003,.6151788330078125,2002,0,0,1,1,.1196329385591058,0,.0732700909786906,0,.1196329385591058,0,.0024111123974784,0
Australia,AUS,2002,.3280223846435547,.6151788330078125,.1498499965667724,.1498499965667724,AUS,-.0058114007458543,-.0008708383818144,-.0427032809470302,-.0435741193288447,.0187742519378662,-.0008708383818144,-.0435741193288447,0,0,-.0309700012207031,2004,.6199591827392578,2003,0,0,1,1,.1202556832438032,0,.07397875088048,0,.1202556832438032,0,.0022577104941794,0
Australia,AUS,2003,.3275015640258789,.6199591827392578,.1316499996185303,.1316499996185303,AUS,-.0099846320999922,-.0013144768121551,-.0428338977756461,-.0441483745878012,.0081334781646729,-.0013144768121551,-.0441483745878012,0,0,-.0232499980926514,2005,.6290117645263672,2004,0,0,1,1,.1208299385027597,0,.0749096299246057,0,.1208299385027597,0,.000982767666451,0
Australia,AUS,2004,.3267987442016602,.6290117645263672,.1188799953460693,.1188799953460693,AUS,-.012886109442972,-.0015319006306094,-.043010158264214,-.0445420588948235,-.0003046922571957,-.0015319006306094,-.0445420588948235,0,0,-.0196799945831299,2006,.6338233566284179,2005,0,0,1,1,.121223622809782,0,.0762510848858597,0,.121223622809782,0,-.0000369358992594,0
Australia,AUS,2005,.327109603881836,.6338233566284179,.1084000015258789,.1084000015258789,AUS,-.0153374268041261,-.0016625770889703,-.0429321976301856,-.0445947747191559,-.0039476591348648,-.0016625770889703,-.0445947747191559,0,0,-.0119299983978271,2007,.6775400543212891,2006,0,0,1,1,.1212763386341144,0,.0768677760326791,0,.1212763386341144,0,-.0004787576460519,0
Australia,AUS,2006,.3270945358276367,.6775400543212891,.0992000007629395,.0992000007629395,AUS,-.017466589410293,-.001732685682827,-.0429359765540341,-.0446686622368611,-.0083878266811371,-.001732685682827,-.0446686622368611,0,0,.0178899955749512,2008,.6845761108398437,2007,0,0,1,1,.1213502261518196,0,.0822196388188046,0,.1213502261518196,0,-.0010178646646783,0
Australia,AUS,2007,.3271295928955078,.6845761108398437,.0964700031280518,.0964700031280518,AUS,-.0181015187548681,-.0017462535709046,-.0429271845767765,-.0446734381476811,-.0053767955303192,-.0017462535709046,-.0446734381476811,0,0,.0691899967193604,2009,.6924519348144531,2008,0,0,1,1,.1213550020626396,0,.083076735343003,0,.1213550020626396,0,-.0006525010326723,0
