country_name,iso3,year,vulnerability100,readiness100,growth,inflation_cpi,debt_gdp,reserves,tt,b_it_theta,country_id,mA_hat,spread_saving_component,TA_hat,theta_hat_A,interest_revenue,theta_recomputed_debt_gdp,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,readiness_lag,sample_debt,sample_ready,debt_hinge_low,debt_hinge_high,debt_kink_low,debt_kink_high,ready_hinge_low,ready_hinge_high,ready_kink_low,ready_kink_high,ready_debt_hinge_low,ready_debt_hinge_high,ready_debt_kink_low,ready_debt_kink_high
Australia,AUS,2005,.327109603881836,.6338233566284179,.0303999996185303,.0265899991989136,.1084000015258789,.0258317446708679,.884000015258789,.1084000015258789,AUS,-.0262347878299262,-.0028438510407951,-.0426734884840668,-.0455173395248619,-.0039476591348648,-.0455173395248619,0,0,-.0119299983978271,2007,.6775400543212891,2006,.6290117645263672,1,1,.0585442894273079,0,.0371067380362419,0,.0705383885651989,0,-.0002784615139781,0,.0585442894273079,0,-.0002311128989519,0
Australia,AUS,2006,.3270945358276367,.6775400543212891,.0263599991798401,.0355399990081787,.0992000007629395,.0320464515686035,.980999984741211,.0992000007629395,AUS,-.0279817044789933,-.0027757851056645,-.04267723005393,-.0454530151595944,-.0083878266811371,-.0454530151595944,0,0,.0178899955749512,2008,.6845761108398437,2007,.6338233566284179,1,1,.0584799650620404,0,.039622518704842,0,.0704740641999314,0,-.0005911242360244,0,.0584799650620404,0,-.0004905198112593,0
Australia,AUS,2007,.3271295928955078,.6845761108398437,.0435699987411499,.0235599994659424,.0964700031280518,.0150021290779114,1.028000030517578,.0964700031280518,AUS,-.0284990510776556,-.0027493035466079,-.0426685249837926,-.0454178285304005,-.0053767955303192,-.0454178285304005,0,0,.0691899967193604,2009,.6924519348144531,2008,.6775400543212891,1,1,.0584447784328465,0,.0400098991184545,0,.0704388775707375,0,-.000378735442083,0,.0584447784328465,0,-.0003142456234482,0
Australia,AUS,2008,.3265549468994141,.6924519348144531,.0266400003433228,.0434800004959106,.1170899963378906,.0178797316551208,1.176999969482422,.1170899963378906,AUS,-.0245995566260416,-.0028803619952569,-.0428112161443468,-.0456915781396037,-.000914886072278,-.0456915781396037,0,0,.0857900047302246,2010,.6840602111816406,2009,.6845761108398437,1,1,.0587185280420497,0,.0406597583521741,0,.0707126271799407,0,-.0000646939977411,0,.0587185280420497,0,-.0000537207634903,0
Australia,AUS,2009,.3268610382080078,.6840602111816406,.0197699999809265,.0176999998092651,.1656599998474121,.0222294235229492,1.099000015258789,.1656599998474121,AUS,-.0153710648204921,-.0025463705958173,-.0427352101783161,-.0452815807741333,.0011487650871277,-.0452815807741333,0,0,.0739599990844726,2011,.6909468841552734,2010,.6924519348144531,1,1,.0583085306765793,0,.039886545808312,0,.0703026298144704,0,.0000807612066641,0,.0583085306765793,0,.000066982804323,0
Australia,AUS,2010,.3265001678466797,.6909468841552734,.0242799997329712,.0286299991607666,.2028800010681152,.0219756650924683,1.205999984741211,.2028800010681152,AUS,-.008314655109353,-.0016868772374666,-.042824818408457,-.0445116956459235,.0073728650808334,-.0445116956459235,0,0,.0713199996948242,2012,.6945819854736328,2011,.6840602111816406,1,1,.0575386455483695,0,.0397561478601606,0,.0695327446862605,0,.0005126555452718,0,.0575386455483695,0,.000424224670562,0
Australia,AUS,2011,.3265813446044922,.6945819854736328,.0275099992752075,.0335599994659424,.2396199989318848,.0236371684074402,1.351999969482422,.2396199989318848,AUS,-.0013378343928404,-.0003205718757835,-.0428046612928397,-.0431252331686231,.0138893270492554,-.0431252331686231,0,0,.0637100028991699,2013,.6979860687255859,2012,.6909468841552734,1,1,.0561521830710691,0,.0390022948061821,0,.0681462822089601,0,.0009465060007911,0,.0561521830710691,0,.0007799160352037,0
Australia,AUS,2012,.3276515579223633,.6979860687255859,.03875,.0168599998950958,.2742000007629394,.0239363646507263,1.226999969482422,.2742000007629394,AUS,.0052547412944631,.0014408500669508,-.0425389151092664,-.0410980650423155,.0194945406913757,-.0410980650423155,0,0,.0647300148010254,2014,.7084961700439453,2013,.6945819854736328,1,1,.0541250149447615,0,.0377785064010077,0,.0661191140826525,0,.001288961759962,0,.0541250149447615,0,.001055142306262,0
Australia,AUS,2013,.3267119979858398,.7084961700439453,.0224300003051758,.0245000004768372,.3033300018310547,.0251734113693237,1.193000030517578,.3033300018310547,AUS,.0107602493963193,.0032639064690881,-.0427722185668108,-.0395083120977227,.0219707846641541,-.0395083120977227,0,0,.0724200057983398,2015,.7096913146972657,2014,.6979860687255859,1,1,.0525352620001687,0,.0372210319193747,0,.0645293611380597,0,.0014177606980797,0,.0525352620001687,0,.0011542409286806,0
Australia,AUS,2014,.3264526748657227,.7096913146972657,.0255900001525879,.0251300001144409,.3389300155639648,.0250439691543579,1.113000030517578,.3389300155639648,AUS,.0175117712386957,.0059352648984837,-.0428366114577726,-.0369013465592888,.0248166942596436,-.0369013465592888,0,0,.0656699752807617,2016,.7059880065917968,2015,.7084961700439453,1,1,.0499282964617348,0,.0354336783565234,0,.0619223955996258,0,.0015367091594206,0,.0499282964617348,0,.0012390552681957,0
