equation,cutoff,coefficient_low,coefficient_high,effective_a,effective_b,product_ab,opposite_sign
debt,.013026949902446,-2.5480568,.26942202,-2.5480568,.26942202,-.68650264,1
ready,.025021049040337,-2.3632612,.10328636,-2.3632612,.10328636,-.24409263,1
ready_debt,.013026949902446,-2.6851983,.11724813,-2.6851983,.11724813,-.31483448,1
