model,equation_text
DN1_core,Delta b(t+h)=b(t+h)-b(t); FE_i + FE_t + kink terms + gamma_X*X; b_it removed
DN2_macro,DN1 + growth + inflation; b_it and GDP controls removed
DN3_full,DN2 + external controls; b_it removed
RN1_core,A(t+h-1) = FE_i + FE_t + kink terms + gamma_X*X + error; A_lag removed
RN2_macro,RN1 + macro controls; A_lag removed
RN3_full,RN2 + external controls; A_lag removed
RDN1_core,A(t+h-1) without A_lag; cutoff from no-b debt full equation
RDN2_macro,RDN1 + growth + inflation; GDP controls excluded
RDN3_full,RDN2 + external controls
