model,equation,cutoff,N,countries,years,first_year,last_year,r2_within,r2_overall,rss,df_r,macro_controls,external_controls
DN1_core,debt,.0766815639149585,1373,60,27,1995,2021,.35399789,.090367459,8.865798,1284,0,0
DN2_macro,debt,.0766815639149585,1373,60,27,1995,2021,.3568238,.10021365,8.8270149,1283,1,0
DN3_full,debt,.0766815639149585,1373,60,27,1995,2021,.35942802,.10485519,8.7912741,1281,1,1
RDN1_core,ready_debt,.0766815639149585,1399,59,28,1995,2022,.35751638,.090087868,1.2992222,1310,0,0
RDN2_macro,ready_debt,.0766815639149585,1399,59,28,1995,2022,.35772106,.092377767,1.2988083,1309,1,0
RDN3_full,ready_debt,.0766815639149585,1399,59,28,1995,2022,.36166164,.047600929,1.2908398,1307,1,1
