country_name,iso3,year,vulnerability100,debt_gdp,b_it_theta,country_id,mA_hat,spread_saving_component,TA_hat,theta_hat_A,theta_recomputed_debt_gdp,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,debt_missing_count,ready_missing_count,sample_debt,sample_ready,duplicate_key,debt_hinge_low,debt_hinge_high,debt_kink_low,debt_kink_high,ready_hinge_low,ready_hinge_high,ready_kink_low,ready_kink_high,ready_debt_hinge_low,ready_debt_hinge_high,ready_debt_kink_low,ready_debt_kink_high
Australia,AUS,1995,.3268232727050781,.3109700012207031,.3109700012207031,AUS,.0122135265552812,.0037980403678049,-.034363757429915,-.0305657170621102,-.0305657170621102,0,0,-.0523299980163574,1997,.5860774612426758,1996,1,2,0,0,0,,,,,,,,,,,,
Australia,AUS,1996,.3267949295043945,.2929999923706055,.2929999923706055,AUS,.0088013696316019,.0025788012349102,-.0343695494660317,-.0317907482311214,-.0317907482311214,0,0,-.0564299964904785,1998,.587919807434082,1997,1,1,0,0,0,,,,,,,,,,,,
Australia,AUS,1997,.3280905532836914,.2586400032043457,.2586400032043457,AUS,.0023122942329782,.0005980517878269,-.0341047840357949,-.033506732247968,-.033506732247968,0,0,-.0336000061035156,1999,.5919098281860351,1998,1,1,0,0,0,,,,,,,,,,,,
Australia,AUS,1998,.3285287475585937,.2365699958801269,.2365699958801269,AUS,-.0018660306772227,-.0004414468696228,-.0340152374424275,-.0344566843120503,-.0344566843120503,0,0,-.0419899940490722,2000,.5988552093505859,1999,1,1,0,0,0,,,,,,,,,,,,
Australia,AUS,1999,.3286614227294922,.2250399971008301,.2250399971008301,AUS,-.0040514178136479,-.0009117310530376,-.0339881247888425,-.0348998558418801,-.0348998558418801,0,0,-.0542799949645996,2001,.6069406127929687,2000,1,1,0,0,0,,,,,,,,,,,,
Australia,AUS,2000,.3286286544799805,.1945800018310547,.1945800018310547,AUS,-.0098347828772075,-.0019136520702551,-.0339948210997768,-.0359084731700319,-.0359084731700319,0,0,-.0447300052642823,2002,.6124575042724609,2001,0,0,1,1,0,.0571520908810992,0,.0346879250617738,0,.060434870374419,0,.0011208863147596,0,.0571520908810992,0,.0010600005614579,0
Australia,AUS,2001,.3276745223999024,.1707600021362305,.1707600021362305,AUS,-.0143816562503862,-.0024558116520385,-.0341898014596014,-.0366456131116398,-.0366456131116398,0,0,-.0391100025177002,2003,.6151788330078125,2002,0,0,1,1,0,.0578892308227071,0,.0354546938339276,0,.0611720103160269,0,.0012328761144555,0,.0578892308227071,0,.001166714149115,0
Australia,AUS,2002,.3280223846435547,.1498499965667724,.1498499965667724,AUS,-.0183421241044644,-.0027485672340813,-.0341187145452706,-.0368672817793519,-.0368672817793519,0,0,-.0309700012207031,2004,.6199591827392578,2003,0,0,1,1,0,.0581108994904192,0,.0357485953335504,0,.061393678983739,0,.0011526203966332,0,.0581108994904192,0,.0010909886673692,0
Australia,AUS,2003,.3275015640258789,.1316499996185303,.1316499996185303,AUS,-.021810792358321,-.0028713908056528,-.0342251461322163,-.0370965369378691,-.0370965369378691,0,0,-.0232499980926514,2005,.6290117645263672,2004,0,0,1,1,0,.0583401546489364,0,.0361685145970365,0,.0616229341422562,0,.0005012087892891,0,.0583401546489364,0,.0004745083739608,0
Australia,AUS,2004,.3267987442016602,.1188799953460693,.1188799953460693,AUS,-.0242533825758281,-.0028832420077409,-.0343687699187751,-.0372520119265159,-.0372520119265159,0,0,-.0196799945831299,2006,.6338233566284179,2005,0,0,1,1,0,.0584956296375833,0,.0367944392154171,0,.061778409130903,0,-.0000188234029241,0,.0584956296375833,0,-.0000178231654304,0
Australia,AUS,2005,.327109603881836,.1084000015258789,.1084000015258789,AUS,-.0262347878299262,-.0028438510407951,-.0343052446128335,-.0371490956536286,-.0371490956536286,0,0,-.0119299983978271,2007,.6775400543212891,2006,0,0,1,1,0,.0583927133646959,0,.0370106655874526,0,.0616754928580157,0,-.0002434738227782,0,.0583927133646959,0,-.0002305145283237,0
Australia,AUS,2006,.3270945358276367,.0992000007629395,.0992000007629395,AUS,-.0279817044789933,-.0027757851056645,-.0343083238244971,-.0370841089301616,-.0370841089301616,0,0,.0178899955749512,2008,.6845761108398437,2007,0,0,1,1,0,.0583277266412289,0,.0395193710769355,0,.0616105061345487,0,-.0005167782471937,0,.0583277266412289,0,-.0004892428617714,0
Australia,AUS,2007,.3271295928955078,.0964700031280518,.0964700031280518,AUS,-.0284990510776556,-.0027493035466079,-.0343011597852088,-.0370504633318168,-.0370504633318168,0,0,.0691899967193604,2009,.6924519348144531,2008,0,0,1,1,0,.0582940810428841,0,.0399067352853202,0,.0615768605362039,0,-.0003310861885022,0,.0582940810428841,0,-.0003134353543954,0
Australia,AUS,2008,.3265549468994141,.1170899963378906,.1170899963378906,AUS,-.0245995566260416,-.0028803619952569,-.0344185907839453,-.0372989527792023,-.0372989527792023,0,0,.0857900047302246,2010,.6840602111816406,2009,0,0,1,1,0,.0585425704902696,0,.0405379162049987,0,.0618253499835894,0,-.0000565631516137,0,.0585425704902696,0,-.0000535597823769,0
Australia,AUS,2009,.3268610382080078,.1656599998474121,.1656599998474121,AUS,-.0153710648204921,-.0025463705958173,-.0343560399120745,-.0369024105078918,-.0369024105078918,0,0,.0739599990844726,2011,.6909468841552734,2010,0,0,1,1,0,.0581460282189591,0,.0397753843428348,0,.0614288077122789,0,.0000705672696437,0,.0581460282189591,0,.0000667961271731,0
Australia,AUS,2010,.3265001678466797,.2028800010681152,.2028800010681152,AUS,-.008314655109353,-.0016868772374666,-.0344297850825503,-.0361166623200169,-.0361166623200169,0,0,.0713199996948242,2012,.6945819854736328,2011,0,0,1,1,0,.0573602800310842,0,.0396329067617516,0,.060643059524404,0,.0004471130959624,0,.0573602800310842,0,.000422909605668,0
Australia,AUS,2011,.3265813446044922,.2396199989318848,.2396199989318848,AUS,-.0013378343928404,-.0003205718757835,-.0344131963169296,-.034733768192713,-.034733768192713,0,0,.0637100028991699,2013,.6979860687255859,2012,0,0,1,1,0,.0559773859037803,0,.0388808838426715,0,.0592601653971001,0,.0008230838181933,0,.0559773859037803,0,.00077748822018,0
Australia,AUS,2012,.3276515579223633,.2742000007629394,.2742000007629394,AUS,.0052547412944631,.0014408500669508,-.0341944943340862,-.0327536442671354,-.0327536442671354,0,0,.0647300148010254,2014,.7084961700439453,2013,0,0,1,1,0,.0539972619782027,0,.0376893366101112,0,.0572800414715225,0,.0011166480992703,0,.0539972619782027,0,.0010526518208569,0
Australia,AUS,2013,.3267119979858398,.3033300018310547,.3033300018310547,AUS,.0107602493963193,.0032639064690881,-.0343864968233905,-.0311225903543024,-.0311225903543024,0,0,.0724200057983398,2015,.7096913146972657,2014,0,0,1,1,0,.0523662080653697,0,.0371012578540388,0,.0556489875586895,0,.0012226519224302,0,.0523662080653697,0,.0011505266810825,0
Australia,AUS,2014,.3264526748657227,.3389300155639648,.3389300155639648,AUS,.0175117712386957,.0059352648984837,-.0344394904458952,-.0285042255474115,-.0285042255474115,0,0,.0656699752807617,2016,.7059880065917968,2015,0,0,1,1,0,.0497478432584788,0,.0353056122854633,0,.0530306227517986,0,.0013160447512299,0,.0497478432584788,0,.0012345770162223,0
Australia,AUS,2015,.3271173095703125,.3757500076293945,.3757500076293945,AUS,.0245190025294462,.0092130153875045,-.0343036699273751,-.0250906545398706,-.0250906545398706,0,0,.034640007019043,2017,.7049276733398437,2016,0,0,1,1,0,.0463342722509379,0,.0327114405033213,0,.0496170517442577,0,.0013178038836569,0,.0463342722509379,0,.0012306149150785,0
Australia,AUS,2016,.3279792785644531,.4045999908447266,.4045999908447266,AUS,.030018360551615,.0121454284043571,-.0341275234292704,-.0219820950249133,-.0219820950249133,0,0,.0113800048828125,2018,.6910182952880859,2017,0,0,1,1,0,.0432257127359806,0,.0304710011074312,0,.0465084922293004,0,.0012038563645768,0,.0432257127359806,0,.0011188827436937,0
Australia,AUS,2017,.3276167678833008,.4103900146484375,.4103900146484375,AUS,.0311080765209217,.0127664439791058,-.0342016038050665,-.0214351598259607,-.0214351598259607,0,0,.0548999786376953,2019,.6957149505615234,2018,0,0,1,1,0,.042678777537028,0,.0294918160986166,0,.0459615570303478,0,.0011409457194579,0,.042678777537028,0,.0010594542850325,0
Australia,AUS,2018,.3155680274963379,.4159799957275391,.4159799957275391,AUS,.0318548807303149,.0132509931500977,-.0366638077128217,-.023412814562724,-.023412814562724,0,0,.153120002746582,2020,.6934119415283203,2019,0,0,1,1,0,.0446564322737913,0,.0310681475716147,0,.0479392117671111,0,.0011390612391418,0,.0446564322737913,0,.0010610606475664,0
Australia,AUS,2019,.3135621643066406,.4652899932861328,.4652899932861328,AUS,.0411635254246044,.0191529764684478,-.0370737131490313,-.0179207366805836,-.0179207366805836,0,0,.0884300231933594,2021,.6805802154541015,2020,0,0,1,1,0,.0391643543916509,0,.0271570310174178,0,.0424471338849707,0,.0010129107303191,0,.0391643543916509,0,.0009345741674061,0
