theta_specification,cutoff_source,cutoff,beta_L,se_L,p_L,beta_H,se_H,p_H,rss,r2_within,N,countries,N_low,N_high
current_debt,current_debt,-.0324804969131947,-4143.349609375,1279.34497070313,.00215858989395201,-.939230442047119,.174498364329338,2.05904984795779e-06,1.14108037948608,.342936754226685,744,50,1,743
current_debt,lagged_debt,.0593002811074257,1.27420699596405,.280695021152496,.0000367635511793196,-.642873346805573,.133516669273376,.0000145491449075053,1.14683175086975,.33962494134903,744,50,658,86
lagged_debt,current_debt,-.0324804969131947,0,0,,-1.72114491462708,.43882691860199,.000273173267487437,1.08105802536011,.377453923225403,742,50,0,742
lagged_debt,lagged_debt,.0593002811074257,2.52770304679871,.555905044078827,.0000358514625986572,-.831450641155243,.139851346611977,2.84183357734946e-07,1.06629741191864,.385954082012177,742,50,687,55
