specification,rss_excess_threshold_pct,selected_cutoff,cutoff_low,cutoff_high,cutoff_z_low,cutoff_z_high,accepted_candidates,total_candidates,accepted_share
current_debt,0.1,-0.0324804984770311,-0.0324804984770311,-0.0298704925789631,-0.6767665339889783,-0.6266367400217384,12,742,0.016172506738544475
current_debt,0.5,-0.0324804984770311,-0.0324804984770311,0.058839220817576,-0.6767665339889783,1.0771906952929549,448,742,0.6037735849056604
current_debt,1.0,-0.0324804984770311,-0.0324804984770311,0.0888211507190012,-0.6767665339889783,1.6530468532469405,702,742,0.9460916442048517
lagged_debt,0.1,0.0593002794631694,0.0558854948728543,0.0638649100721778,1.3881606758723455,1.597466629737416,15,740,0.02027027027027027
lagged_debt,0.5,0.0593002794631694,0.048046430041536,0.0721276525303125,1.1825362158156347,1.8142044668520863,42,740,0.05675675675675676
lagged_debt,1.0,0.0593002794631694,0.0403615663359675,0.0796062356654187,0.9809565651723842,2.0103732257838614,77,740,0.10405405405405406
