specification,requested_reps,valid_reps,failed_reps,cutoff_min,cutoff_p25,cutoff_median,cutoff_p75,cutoff_max,share_beta_L_positive,share_beta_H_negative,share_both_theoretical,min_branch_share_median,share_min_branch_below_10pct,share_min_branch_le_5_obs,seed,bootstrap_unit,nested_lsdvc_vce_reps,interpretation
current_debt,30,30,0,-0.086650181560504,-0.029698942748387552,0.01052412238652405,0.05750856856731028,0.186550498554147,0.5333333333333333,1.0,0.5333333333333333,0.11633428300094967,0.43333333333333335,0.2,20260830,country block,0,compact stability diagnostic; not a formal confidence interval
lagged_debt,30,30,0,-0.0792586048537693,-0.00384638962954245,0.0309081873757092,0.09297272924781938,0.205183312966896,0.8,0.9333333333333333,0.7666666666666667,0.0877012213187609,0.6,0.1,20260830,country block,0,compact stability diagnostic; not a formal confidence interval
