specification,cutoff,beta_L,se_L,p_L,beta_H,se_H,p_H,rss,r2_within,N,countries,N_low,N_high,candidate_count,trim_low,trim_high
current_debt,-.0324804969131947,-4031.76342773438,1255.54760742188,.00233610323630273,-.946510553359985,.17705637216568,2.33963965001749e-06,1.14011573791504,.343444526195526,742,50,1,741,740,-.032502468675375,.314242869615555
lagged_debt,.0593002811074257,2.52770304679871,.555905044078827,.0000358514625986572,-.831450641155243,.139851346611977,2.84183357734946e-07,1.06629741191864,.385954082012177,742,50,687,55,740,-.0310831125825644,.222348734736443
