specification,cutoff,cutoff_z,rss,rss_index,rss_excess_pct,selected,N,N_low,N_high
current_debt,-0.0324804984770311,-0.6767665339889783,1.141080353040206,1.0,0.0,1,744,1,743
current_debt,-0.0321196589891068,-0.6698359714188786,1.141223707364768,1.000125630350378,0.01256303503780476,0,744,3,741
current_debt,-0.0316556488271234,-0.6609238330071794,1.141241400073433,1.0001411355762966,0.014113557629658047,0,744,3,741
current_debt,-0.0316060750859196,-0.6599716813532037,1.141236294946912,1.0001366616349938,0.013666163499381767,0,744,4,740
current_debt,-0.0314310679143379,-0.6566103581237526,1.141309989583194,1.0002012448486874,0.020124484868744297,0,744,5,739
current_debt,-0.0302180548938778,-0.6333122909277145,1.141981435020125,1.0007896744322327,0.07896744322326565,0,744,7,737
current_debt,-0.0301692219844021,-0.632374368261467,1.142000311478583,1.000806217052047,0.08062170520470868,0,744,7,737
current_debt,-0.0299703137625751,-0.6285539829566066,1.142161844631299,1.0009477786452212,0.094777864522122,0,744,9,735
current_debt,-0.0299701150293279,-0.628550165932,1.142161964424568,1.0009478836275465,0.09478836275464975,0,744,9,735
current_debt,-0.0299289227096031,-0.6277589943479184,1.142180886252634,1.0009644660075827,0.09644660075827094,0,744,10,734
current_debt,-0.0298708584858708,-0.6266437679130958,1.142209642140228,1.000989666588346,0.09896665883459832,0,744,12,732
current_debt,-0.0298704925789631,-0.6266367400217384,1.142209842610934,1.0009898422733496,0.09898422733496393,0,744,13,731
current_debt,-0.0298217603477869,-0.625700751060857,1.142237750991604,1.001014300130849,0.10143001308489108,0,744,14,730
current_debt,-0.0291420510328366,-0.6126457277211417,1.142453732426729,1.0012035781554418,0.1203578155441809,0,744,14,730
current_debt,-0.028954852991082,-0.6090502572008738,1.14247432563851,1.0012216252734436,0.1221625273443605,0,744,15,729
current_debt,-0.0287804914008953,-0.6057013335075098,1.142486390975452,1.0012321988819628,0.12321988819627983,0,744,17,727
current_debt,-0.0286654276792221,-0.6034913305857343,1.142488162515537,1.0012337513932126,0.12337513932125788,0,744,18,726
current_debt,-0.0284698543970048,-0.5997349987129568,1.142483863723333,1.001229984093046,0.12299840930460881,0,744,19,725
current_debt,-0.0284355173860673,-0.5990754954968829,1.142481686439342,1.0012280760030634,0.12280760030634053,0,744,20,724
current_debt,-0.0283121329018599,-0.5967056775678699,1.142482682016721,1.0012289484897174,0.12289484897174408,0,744,21,723
current_debt,-0.0282030691106478,-0.594610913955728,1.142484034278045,1.0012301335607952,0.12301335607951547,0,744,22,722
current_debt,-0.0279213555123952,-0.5892001044826052,1.14249127697794,1.001236480791186,0.12364807911859899,0,744,23,721
current_debt,-0.0278834136745829,-0.5884713641706859,1.142496346068181,1.001240923151645,0.12409231516450347,0,744,23,721
current_debt,-0.0278682602900265,-0.5881803165350156,1.142499639783701,1.0012438096403233,0.12438096403233345,0,744,24,720
current_debt,-0.027482885096234,-0.5807785022022572,1.142580552691838,1.00131471867659,0.13147186765900543,0,744,26,718
current_debt,-0.0274363173649862,-0.5798840863027751,1.142588656995501,1.0013218209841896,0.13218209841896478,0,744,27,717
current_debt,-0.0273505468135002,-0.5782367106866386,1.1426012445976,1.0013328522862932,0.13328522862932068,0,744,27,717
current_debt,-0.0273333955654131,-0.5779072905372346,1.142604219650886,1.0013354595113482,0.13354595113481693,0,744,29,715
current_debt,-0.0273241134778919,-0.5777290115780306,1.142605743597757,1.0013367950411967,0.1336795041196659,0,744,29,715
current_debt,-0.0269008388714233,-0.5695992717833649,1.142672165385112,1.0013950046030193,0.13950046030193342,0,744,30,714
current_debt,-0.0267471916577451,-0.5666482044424711,1.142693945744827,1.0014140920929204,0.1414092092920427,0,744,31,713
current_debt,-0.0266856967009947,-0.5654670846932001,1.142702298297952,1.0014214119570322,0.14214119570321593,0,744,32,712
current_debt,-0.0266827361089711,-0.5654102212706791,1.142702738186406,1.0014217974587658,0.14217974587658055,0,744,34,710
current_debt,-0.0265966304816066,-0.5637564099278015,1.14271282092033,1.0014306335884013,0.1430633588401342,0,744,35,709
current_debt,-0.0263429279748716,-0.5588836031647929,1.142749288762508,1.0014625926367546,0.14625926367546338,0,744,35,709
current_debt,-0.0263385303418838,-0.5587991388209441,1.142749807558425,1.0014630472900274,0.14630472900274416,0,744,37,707
current_debt,-0.0262960351014882,-0.5579829423337267,1.142753566387426,1.001466341386706,0.14663413867059827,0,744,38,706
current_debt,-0.0260790212262608,-0.5538148058321062,1.142776156934596,1.0014861388944887,0.14861388944886755,0,744,39,705
