item,value
raw_observations,1827
duplicate_country_year_rows,0
wsdi_source_rows,1464
wsdi_source_nonmissing_rows,1233
wsdi_duplicate_country_year_rows,0
wsdi_matched_rows,1464
wsdi_unmatched_master_rows,363
nonpositive_ConstantGDP,0
layer2_a_sample_observations,744
layer2_a_sample_loss,1083
layer2_a_sample_countries,50
layer2_a_sample_years,20
layer2_a_sample_first_year,1999
layer2_a_sample_last_year,2018
twfe_condition_number,1.807884293773081
