variable,missing_total,missing_rate,exclusive_loss
bond_spreads,497,27.203066,1
wsdi_days,594,32.512314,388
readiness100,58,3.1746032,0
b_it,103,5.6376572,9
spread_lag,560,30.65134,30
growth,5,.2736727,0
inflation_cpi,7,.38314176,1
reserves,70,3.8314176,0
tt,222,12.151068,69
