model,variable,coefficient,se,t,p,ci_low,ci_high,omitted
T10_interact_full,reserves,.0020041808736677,.006547641,.30609205,.75957882,-.010839763,.014848124,0
T10_interact_full,tt,-.024032932063935,.0060456358,-3.9752531,.000073792085,-.035892136,-.012173729,0
T11_quadratic_full,c_A_T,.0003240104076486,.018026667,.01797395,.9856621,-.035037413,.035685435,0
T11_quadratic_full,c_X_T,.1116338516581404,.088887744,1.2558969,.20935762,-.062729895,.2859976,0
T11_quadratic_full,half_A2_T,-.3984874187990228,.17824258,-2.2356467,.025528098,-.74813116,-.048843686,0
T11_quadratic_full,half_X2_T,-.3453719534514521,.82369059,-.41929817,.67506093,-1.9611378,1.2703938,0
T11_quadratic_full,int_AX_T,-.1708427199844684,.23700066,-.72085333,.47111708,-.63574731,.2940619,0
T11_quadratic_full,taxbase_lag,.6768676960567188,.057018481,11.871023,4.5081168e-31,.56501925,.78871614,0
T11_quadratic_full,b_it_theta,.0205664483393039,.0056868941,3.6164641,.00030899205,.0094109382,.031721957,0
T11_quadratic_full,growth,-.0686671020228526,.034205098,-2.0075109,.044882361,-.13576442,-.0015697901,0
T11_quadratic_full,inflation_cpi,-.0433108614164699,.02120737,-2.0422552,.041308563,-.084911607,-.0017101173,0
T11_quadratic_full,reserves,.0057552308551368,.0070842067,.81240302,.41669509,-.0081412718,.019651733,0
T11_quadratic_full,tt,-.0219064477424065,.0059208861,-3.6998596,.00022386177,-.033520959,-.010291935,0
