variable,N,missing,missing_rate,mean,sd,min,p10,p25,p50,p75,p90,max
Y_outcome,1762,65,3.557745,1.0334024,.035152152,.85453397,.995947,1.0164894,1.0343417,1.0538714,1.0731941,1.2462394
Y_lag,1762,65,3.557745,1.0334024,.035152152,.85453397,.995947,1.0164894,1.0343417,1.0538714,1.0731941,1.2462394
readiness_delta100,1769,58,3.1746032,.060027689,.089619011,-.32640079,-.049648505,-.005323614,.049790278,.12916662,.18193096,.30344737
vulnerability_delta100,1769,58,3.1746032,-.039307274,.058659036,-.18468101,-.10653983,-.080090314,-.046972055,.0021568539,.035626683,.29545963
inflation_cpi,1820,7,.38314176,.056067713,.10740656,-.039670002,.00581,.016100001,.031714998,.064769998,.108455,1.973
reserves,1757,70,3.8314176,.16639318,.18796457,.0034262724,.03534488,.057277363,.11340439,.20178957,.30699015,1.4338673
tt,1605,222,12.151068,1.0069016,.18592837,.31876102,.85000002,.93800002,.99420995,1.046,1.148,2.7307551
