sample,variable,mean,sd,min,p10,p25,p50,p75,p90,max
spread,readiness100,.5353158016857427,.14097887,.20213045,.34488499,.43068531,.52959114,.66292524,.71721983,.80720198
spread,debt_gdp,.6073122468113343,.35302967,.039009999,.24767999,.37575001,.53271002,.77293998,1.05074,2.28771
spread,vulnerability100,.3659917937615426,.071001559,.25103006,.28707433,.31223267,.34935606,.40337536,.48357517,.56856817
tax,readiness100,.5081620387072977,.1429354,.20213045,.32967758,.37722206,.50340509,.62541074,.70760942,.80720198
tax,vulnerability100,.3821661690241048,.0790333,.25103006,.3010011,.31724751,.36619285,.43431091,.50525999,.5802834
