country_name,iso3,year,bond_spreads,readiness100,growth,inflation_cpi,debt_gdp,reserves,tt,CurrentGDP,ConstantGDP,revenue,interest_revenue,wsdi_days,wsdi_merge,country_id,spread_lag,b_it,ln_constantgdp,ln_constantgdp_lag,T_it,T_lead,outcome_year,b_outcome_common,A_outcome_common,eligible_spread,sample_spread,eligible_tax,sample_tax,mA_hat_spread_ratio,mA_hat,spread_saving_component,TA_hat,theta_hat_A,theta_constructible,sample_theta_support,mA_hat_se,TA_hat_se
Turkey,TUR,2012,.0684973478317261,.4240926742553711,.0480800008773804,.0889700031280518,.3081599998474121,.1350611591339111,.91,882.43701,1279.5699,511.57001,.0766792011260986,.3408910167578494,Matched (3),TUR,.0675850009918213,.3081599998474121,7.154279320998248,7.107323093767641,1.048076130880772,1.084883217198772,2013,-.0126799964904785,.0066424560546875,1,1,1,1,.0074813051679986,.0074813051679986,.0023054389994289,.0042149595824346,.0065203985818635,1,1,.0184129031648984,.0263290957445876
Turkey,TUR,2013,.0562940216064453,.4384267044067383,.0848799991607666,.0747700023651123,.2954800033569336,.1361659240722656,.9259999847412109,962.45697,1388.184,592.43402,.0699378538131714,.1760776620922667,Matched (3),TUR,.0684973478317261,.2954800033569336,7.235751668279542,7.154279320998248,1.084883217198772,1.046007638232245,2014,-.0218099975585938,.0143340301513671,1,1,1,1,.0062251379383593,.0062251379383593,.0018394037789238,-.0138319501860306,-.0119925464071068,1,1,.0168242177001657,.0232581159644581
Turkey,TUR,2014,.0667999076843262,.4557336044311524,.0460099983215332,.0887800025939941,.2736700057983398,.1350757122039795,.9390000152587891,943.33698,1452.051,650.43298,.0618618822097778,.1638554890950521,Matched (3),TUR,.0562940216064453,.2736700057983398,7.280732336220893,7.235751668279542,1.046007638232245,1.058055760633573,2015,-.0091200065612793,.0173069000244141,1,1,1,1,.0042549160921203,.0042549160921203,.001164442911602,-.0151702668151828,-.0140058239035807,1,1,.017016970424233,.0231417364129617
Turkey,TUR,2015,.0699315595626831,.4544841384887695,.0580600023269653,.0766099977493286,.2645499992370606,.1272622871398926,1,868.20398,1536.351,751.19299,.0576290321350098,.3394823895078717,Matched (3),TUR,.0667999076843262,.2645499992370606,7.337165372080655,7.280732336220893,1.058055760633573,1.033236538962562,2016,.005629997253418,-.0012494659423828,1,1,1,1,.003557931463763,.003557931463763,.000941250766024,.0040607162025257,.0050019669685497,1,1,.0189756789074267,.0262924494189959
Turkey,TUR,2016,.0812228298187256,.4352152633666992,.0332399988174438,.0777799987792969,.2701799964904785,.1204249477386475,1.04,870.33899,1587.4139,843.68799,.0433603477478027,.2700193867538915,Matched (3),TUR,.0699315595626831,.2701799964904785,7.369861518544438,7.337165372080655,1.033236538962562,1.078258733114454,2017,-.0009099960327149,-.0192688751220703,1,1,1,1,.004015543525372,.004015543525372,.0010849195355924,-.0035454182972626,-.0024604987616702,1,1,.0179567111168152,.0246902115789206
Turkey,TUR,2017,.0849739933013916,.4507453155517578,.0782600021362305,.1116499996185303,.2692700004577637,.1246165943145752,.985999984741211,863.90601,1711.6429,963.07397,.043162407875061,.2685206557765152,Matched (3),TUR,.0812228298187256,.2692700004577637,7.445208974398473,7.369861518544438,1.078258733114454,1.034681333944858,2018,.0189900016784668,.0155300521850585,1,1,1,1,.0039326442582964,.0039326442582964,.0010589431212317,-.0037095279519128,-.0026505848306811,1,1,.0179513153572443,.0246603675865224
Turkey,TUR,2018,.1235657691955566,.4529528427124023,.0346799993515015,.1631399917602539,.2882600021362305,.115192813873291,.95,807.31799,1771.005,1171.9611,.0458930158615112,.2717721407341235,Matched (3),TUR,.0849739933013916,.2882600021362305,7.479302463799627,7.445208974398473,1.034681333944858,1.01301633924781,2019,.0236899948120117,.0022075271606445,1,1,1,1,.0056429317015722,.0056429317015722,.0016266315043498,-.0033534933589483,-.0017268618545985,1,1,.0177410270516585,.0247253820611808
Turkey,TUR,2019,.131004056930542,.4685233306884766,.0130200004577637,.1518000030517578,.3119499969482422,.1362442493438721,.9469999694824218,775.22302,1794.057,1326.981,.0592138004302978,,Master only (1),TUR,.1235657691955566,.3119499969482422,7.492234818499578,7.479302463799627,1.01301633924781,1.018030654732643,2020,.0710200119018554,.0155704879760742,0,0,0,0,,,,,,0,0,,
Turkey,TUR,2020,.1153576755523682,.4784150695800781,.0180299997329712,.1227200031280518,.3829700088500976,.1281374931335449,.995999984741211,730.34497,1826.405,1512.1801,.0604556274414062,,Master only (1),TUR,.131004056930542,.3829700088500976,7.510104848878502,7.492234818499578,1.018030654732643,1.118111257185747,2021,.0061299896240234,.0098917388916016,0,0,0,0,,,,,,0,0,,
Turkey,TUR,2021,.1552296257019043,.4819499588012695,.1181099987030029,.1960799980163574,.3890999984741211,.134334306716919,.8859999847412109,827.67297,2042.124,2048.7209,.0642960834503174,,Master only (1),TUR,.1153576755523682,.3890999984741211,7.621745733137585,7.510104848878502,1.118111257185747,1.05441195809931,2022,-.0947699928283691,.0035348892211914,0,0,0,0,,,,,,0,0,,
