country_name,iso3,year,bond_spreads,readiness100,debt_gdp,CurrentGDP,ConstantGDP,interest_revenue,wsdi_days,wsdi_merge,country_id,duplicate_key,spread_lag,b_it,ln_constantgdp,ln_constantgdp_lag,T_it,T_lead,outcome_year,b_outcome_common,A_outcome_common,spread_missing_count,eligible_spread,sample_spread,tax_missing_count,eligible_tax,sample_tax,mA_hat_spread_ratio,mA_hat,spread_saving_component,TA_hat,theta_hat_A,theta_constructible,sample_theta_support,mA_hat_se,TA_hat_se
Australia,AUS,1995,.0262286996841431,.5829214096069336,.3109700012207031,379.79401,1155.7791,.0677430772781372,.0827267262040537,Matched (3),AUS,0,,.3109700012207031,7.052529900111876,,,1.039684026707669,1996,-.0179700088500976,,2,0,0,2,0,0,,,,,,0,0,,
Australia,AUS,1996,.0176441895961761,.5860774612426758,.2929999923706055,425.32101,1201.645,.0630793714523315,.0508710866766693,Matched (3),AUS,0,.0262286996841431,.2929999923706055,7.091446746628972,7.052529900111876,1.039684026707669,1.047234443018177,1997,-.0343599891662598,.0031560516357422,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,1997,.0059797602891922,.587919807434082,.2586400032043457,427.11301,1258.4041,.0529903936386108,.0429568720750743,Matched (3),AUS,0,.0176441895961761,.2586400032043457,7.137599572284317,7.091446746628972,1.047234443018177,1.046874402818705,1998,-.0220700073242188,.0018423461914062,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,1998,.0021465699374676,.5919098281860351,.2365699958801269,382.15701,1317.391,.0403354978561401,.1308506991599911,Matched (3),AUS,0,.0059797602891922,.2365699958801269,7.183408537873615,7.137599572284317,1.046874402818705,1.044204784866513,1999,-.0115299987792969,.0039900207519531,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,1999,.0037617000937462,.5988552093505859,.2250399971008301,412.70099,1375.626,.0265623736381531,.0409553859285239,Matched (3),AUS,0,.0021465699374676,.2250399971008301,7.226664162185063,7.183408537873615,1.044204784866513,1.031083327831577,2000,-.0304599952697754,.0069453811645508,1,0,0,1,0,0,,,,,,0,0,,
Australia,AUS,2000,.0028916499018669,.6069406127929687,.1945800018310547,401.043,1418.385,.0185470128059387,.0339377581145743,Matched (3),AUS,0,.0037617000937462,.1945800018310547,7.257274186293002,7.226664162185063,1.031083327831577,1.025835046702027,2001,-.0238199996948242,.0080854034423828,0,1,1,0,1,1,-.0029498249099785,-.0029498249099785,-.0005739769363849,-.029396138092943,-.0299701150293279,1,1,.0177779667002321,.0229876461356055
Australia,AUS,2001,.0061443400382996,.6124575042724609,.1707600021362305,378.776,1455.0291,.0201542520523071,.0665962926966363,Matched (3),AUS,0,.0028916499018669,.1707600021362305,7.282781146921279,7.257274186293002,1.025835046702027,1.041474049712079,2002,-.020910005569458,.0055168914794922,0,1,1,0,1,1,-.0050693247951129,-.0050693247951129,-.0008656379128427,-.0258200587881519,-.0266856967009947,1,1,.0180316512620511,.0228378669695872
Australia,AUS,2002,.0125736904144287,.6151788330078125,.1498499965667724,426.22699,1515.375,.0187742519378662,.1760760325028979,Matched (3),AUS,0,.0061443400382996,.1498499965667724,7.323418212066747,7.282781146921279,1.041474049712079,1.030179349815433,2003,-.0181999969482422,.0027213287353516,0,1,1,0,1,1,-.0068731646084465,-.0068731646084465,-.0010299436929786,-.013832128624558,-.0148620723175365,1,1,.0187364545859163,.0232580993203729
Australia,AUS,2003,.0137061405181885,.6199591827392578,.1316499996185303,542.02399,1561.108,.0081334781646729,.0797213754119544,Matched (3),AUS,0,.0125736904144287,.1316499996185303,7.353151125184515,7.323418212066747,1.030179349815433,1.041029207504154,2004,-.0127700042724609,.0047803497314453,0,1,1,0,1,1,-.0085777555537095,-.0085777555537095,-.0011292615153737,-.0243828743806893,-.025512135896063,1,1,.0185555830953094,.0228132914589051
Australia,AUS,2004,.0133891904354095,.6290117645263672,.1188799953460693,659.797,1625.1591,-.0003046922571957,.0931815298227914,Matched (3),AUS,0,.0137061405181885,.1188799953460693,7.393360971584323,7.353151125184515,1.041029207504154,1.030403724755607,2005,-.0104799938201904,.0090525817871094,0,1,1,0,1,1,-.0097168704091014,-.0097168704091014,-.0011551415090123,-.0229089999327426,-.0240641414417549,1,1,.0187607995586545,.0228094340001979
