variable,country_absorbed,time_absorbed,twfe_absorbed,residual_sd,tolerance
Y_outcome,0,0,0,.1319099930967655,2.7671351e-10
Y_lag,0,0,0,.133622109692135,2.7623442e-10
ln_constantgdp,0,0,0,.133622109692135,2.7623442e-10
readiness100,0,0,0,.0322043887608106,1.0000000e-10
vulnerability100,0,0,0,.0070165422105231,1.0000000e-10
growth,0,0,0,.0240393505401692,1.0000000e-10
inflation_cpi,0,0,0,.0504715141323835,1.0000000e-10
reserves,0,0,0,.0594471447327702,1.0000000e-10
tt,0,0,0,.16504719991535,1.0000000e-10
