variable,source_min,source_max,ratio_min,ratio_max,max_abs_scaling_diff,passed
bond_spreads,-3.40573191642761,34.3087158203125,-.0340573191642761,.343087166547775,0,1
bond_10y,-.505895972251892,35.2028274536133,-.00505895959213376,.352028280496597,0,1
vulnerability100,25.103006362915,58.0799865722656,.251030057668686,.580799877643585,0,1
readiness100,17.934154510498,80.7201995849609,.179341539740562,.807201981544495,0,1
growth,-16.0400009155273,24.6240005493164,-.160400003194809,.246240004897118,0,1
inflation_cpi,-3.96700000762939,197.300003051758,-.0396700017154217,1.97300004959106,0,1
debt_gdp,.0520000010728836,260.963989257813,.00052000000141561,2.60963988304138,0,1
PrimaryBalance_gdp,-29.9519996643066,23.4489994049072,-.29951998591423,.234489992260933,0,1
reserves,.000130792104755528,152.707229614258,1.30792102481792e-06,1.52707231044769,0,1
tt,31.8761005401611,273.075500488281,.318760991096497,2.7307550907135,0,1
Revenue_gdp,3.6340000629425,60.9179992675781,.0363400019705296,.609179973602295,0,1
OverallBalance_gdp,-32.1450004577637,24.6679992675781,-.321449995040894,.246679991483688,0,1
interest_revenue,-14.8211240768433,79.8697814941406,-.148211240768433,.798697829246521,0,1
