country_name,iso3,year,readiness100,growth,inflation_cpi,debt_gdp,reserves,tt,interest_revenue,wsdi_days,country_id,b_it,sample_spread,sample_tax,mA_hat,spread_saving_component,TA_hat,theta_hat_A,sample_theta_support,b_it_mA_hat,theta_recomputed_b_it,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,sample_debt_ns,sample_ready_ns,sample_criterion_theta,sample_criterion_debt,sample_criterion_ma,sample_criterion_ta,sample_criterion_bma,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Turkey,TUR,2002,.3458984756469727,.0643599987030029,.4513399887084961,.7118900299072266,.1187730121612549,.994209976196289,.4583065795898438,.20962114276308,TUR,.7118900299072266,0,1,,,-.0101589701037143,,0,,,,0,-.0757700347900391,2003,-.0020309829711914,2002,0,0,0,1,0,1,0,,,,,,,,
Turkey,TUR,2003,.3570013046264648,.0579899978637695,.2533699989318848,.6361199951171875,.1120195579528809,1.005860137939453,.3797192764282227,.1166673924706199,TUR,.6361199951171875,0,1,,,-.0203373197136247,,0,,,,0,-.0656700134277344,2004,.0111028289794922,2003,0,0,0,1,0,1,0,,,,,,,,
Turkey,TUR,2004,.3588621902465821,.0992500019073486,.0859899997711182,.5704499816894532,.091362476348877,1.011585998535156,.2869290161132813,.0945377690864332,TUR,.5704499816894532,0,1,,,-.022760492988842,,0,,,,0,-.0689099884033203,2005,.0018608856201172,2004,0,0,0,1,0,1,0,,,,,,,,
Turkey,TUR,2005,.3820089340209961,.0911200046539307,.0810900020599365,.5015399932861329,.103580436706543,1.001999969482422,.1620358467102051,.0771795404318607,TUR,.5015399932861329,0,1,,,-.0246612029580376,,0,,,,0,-.0595199966430665,2006,.0231467437744141,2005,0,0,0,1,0,1,0,,,,,,,,
Turkey,TUR,2006,.383846206665039,.0706799983978272,.0957100009918213,.4420199966430664,.1140108394622803,.955,.1440279579162598,.1344600495425138,TUR,.4420199966430664,0,1,,,-.0183890402348819,,0,,,,0,-.0707099914550781,2007,.0018372726440429,2006,0,0,0,1,0,1,0,,,,,,,,
Turkey,TUR,2007,.3934523391723633,.0510799980163574,.0877600002288818,.3713100051879883,.111362829208374,.980999984741211,.1447124862670899,.3068561068448153,TUR,.3713100051879883,0,1,,,.0004881684530102,,0,,,,0,-.0010700225830078,2008,.0096061325073242,2007,0,0,0,1,0,1,0,,,,,,,,
Turkey,TUR,2008,.4042265701293946,.009200000166893,.1041699981689453,.3702399826049805,.0935080146789551,.9440000152587891,.1301795864105225,.1911636653090968,TUR,.3702399826049805,0,1,,,-.0121800467988728,,0,,,,0,.0535200119018555,2009,.0107742309570313,2008,0,0,0,1,0,1,0,,,,,,,,
Turkey,TUR,2009,.4060968399047852,-.0488299989700317,.0624399995803833,.4237599945068359,.1142039585113525,.9840000152587891,.1342383098602295,.1027009498711788,TUR,.4237599945068359,0,1,,,-.0218666322495536,,0,,,,0,-.0375600051879883,2010,.0018702697753906,2009,0,0,0,1,0,1,0,,,,,,,,
Turkey,TUR,2010,.4141064071655273,.0854199981689453,.0857299995422363,.3861999893188476,.1097786903381348,.9390000152587891,.1065744113922119,.4497392908732096,TUR,.3861999893188476,0,1,,,.0161337448374215,,0,,,,0,-.0384700012207031,2011,.0080095672607421,2010,0,0,0,1,0,1,0,,,,,,,,
Turkey,TUR,2011,.4174502182006836,.1097999954223633,.0646799993515015,.3477299880981445,.1042743301391602,.9109999847412109,.0766201543807983,.096178847804214,TUR,.3477299880981445,1,1,.0108685341341719,.0037793152451199,-.0225807963883885,-.0188014811432686,1,.0037793152451199,-.0188014811432686,0,0,-.0395699882507324,2012,.0033438110351563,2011,1,1,1,1,1,1,1,0,.0136790173337625,0,.0057103087707501,0,.0136790173337625,0,.0010480884198905
