theta,cutoff,branch,marginal_effect,se,ci_low,ci_high,critical
-.0301692219844021,-.0153764933107824,low,-.0011240068720869,.0174011290401108,-.036092884889184,.0338448711450102,2.009575237129241
-.0286005206355902,-.0153764933107824,low,-.0010048110742581,.0155558187394661,-.0322653992063602,.030255777057844,2.009575237129241
-.0270318192867783,-.0153764933107824,low,-.0008856152764293,.0137105084388215,-.0284379135235365,.0266666829706778,2.009575237129241
-.0254631179379664,-.0153764933107824,low,-.0007664194786006,.0118651981381768,-.0246104278407127,.0230775888835115,2.009575237129241
-.0238944165891545,-.0153764933107824,low,-.0006472236807718,.0100198878375322,-.020782942157889,.0194884947963453,2.009575237129241
-.0223257152403426,-.0153764933107824,low,-.0005280278829431,.0081745775368876,-.0169554564750652,.0158994007091791,2.009575237129241
-.0207570138915307,-.0153764933107824,low,-.0004088320851143,.0063292672362429,-.0131279707922415,.0123103066220129,2.009575237129241
-.0191883125427188,-.0153764933107824,low,-.0002896362872855,.0044839569355983,-.0093004851094177,.0087212125348467,2.009575237129241
-.0176196111939068,-.0153764933107824,low,-.0001704404894568,.0026386466349536,-.005472999426594,.0051321184476804,2.009575237129241
-.0160509098450949,-.0153764933107824,low,-.000051244691628,.000793336334309,-.0016455137437702,.0015430243605142,2.009575237129241
-.0153764933107824,-.0153764933107824,cutoff,0,0,0,0,2.009575237129241
-.014482208496283,-.0153764933107824,high,-.0008319378189267,.0001571355465514,-.0011477135221493,-.0005161621157042,2.009575237129241
-.0129135071474711,-.0153764933107824,high,-.0022912737681887,.0004327733968481,-.0031609644697829,-.0014215830665945,2.009575237129241
-.0113448057986592,-.0153764933107824,high,-.0037506097174507,.0007084112471447,-.0051742154174166,-.0023270040174848,2.009575237129241
-.0097761044498473,-.0153764933107824,high,-.0052099456667127,.0009840490974414,-.0071874663650502,-.0032324249683751,2.009575237129241
-.0082074031010354,-.0153764933107824,high,-.0066692816159746,.001259686947738,-.0092007173126839,-.0041378459192654,2.009575237129241
-.0066387017522235,-.0153764933107824,high,-.0081286175652366,.0015353247980347,-.0112139682603176,-.0050432668701557,2.009575237129241
-.0050700004034116,-.0153764933107824,high,-.0095879535144986,.0018109626483313,-.0132272192079512,-.005948687821046,2.009575237129241
-.0035012990545997,-.0153764933107824,high,-.0110472894637606,.002086600498628,-.0152404701555849,-.0068541087719363,2.009575237129241
-.0019325977057878,-.0153764933107824,high,-.0125066254130226,.0023622383489246,-.0172537211032185,-.0077595297228266,2.009575237129241
-.0003638963569759,-.0153764933107824,high,-.0139659613622845,.0026378761992213,-.0192669720508522,-.0086649506737169,2.009575237129241
.001204804991836,-.0153764933107824,high,-.0154252973115465,.0029135140495179,-.0212802229984858,-.0095703716246072,2.009575237129241
.0027735063406479,-.0153764933107824,high,-.0168846332608085,.0031891518998146,-.0232934739461195,-.0104757925754975,2.009575237129241
.0043422076894598,-.0153764933107824,high,-.0183439692100705,.0034647897501112,-.0253067248937532,-.0113812135263878,2.009575237129241
.0059109090382717,-.0153764933107824,high,-.0198033051593325,.0037404276004078,-.0273199758413868,-.0122866344772781,2.009575237129241
.0074796103870836,-.0153764933107824,high,-.0212626411085944,.0040160654507045,-.0293332267890205,-.0131920554281684,2.009575237129241
.0090483117358955,-.0153764933107824,high,-.0227219770578564,.0042917033010011,-.0313464777366541,-.0140974763790587,2.009575237129241
.0106170130847074,-.0153764933107824,high,-.0241813130071184,.0045673411512978,-.0333597286842878,-.015002897329949,2.009575237129241
.0121857144335193,-.0153764933107824,high,-.0256406489563804,.0048429790015944,-.0353729796319214,-.0159083182808393,2.009575237129241
.0137544157823312,-.0153764933107824,high,-.0270999849056423,.0051186168518911,-.0373862305795551,-.0168137392317296,2.009575237129241
.0153231171311431,-.0153764933107824,high,-.0285593208549043,.0053942547021877,-.0393994815271888,-.0177191601826199,2.009575237129241
.016891818479955,-.0153764933107824,high,-.0300186568041663,.0056698925524844,-.0414127324748224,-.0186245811335102,2.009575237129241
.018460519828767,-.0153764933107824,high,-.0314779927534283,.005945530402781,-.0434259834224561,-.0195300020844005,2.009575237129241
.0200292211775789,-.0153764933107824,high,-.0329373287026903,.0062211682530777,-.0454392343700897,-.0204354230352908,2.009575237129241
.0215979225263908,-.0153764933107824,high,-.0343966646519522,.0064968061033743,-.0474524853177234,-.0213408439861811,2.009575237129241
.0231666238752027,-.0153764933107824,high,-.0358560006012142,.006772443953671,-.049465736265357,-.0222462649370714,2.009575237129241
.0247353252240146,-.0153764933107824,high,-.0373153365504762,.0070480818039676,-.0514789872129907,-.0231516858879617,2.009575237129241
.0263040265728265,-.0153764933107824,high,-.0387746724997382,.0073237196542643,-.0534922381606244,-.024057106838852,2.009575237129241
.0278727279216384,-.0153764933107824,high,-.0402340084490002,.0075993575045609,-.055505489108258,-.0249625277897423,2.009575237129241
.0294414292704503,-.0153764933107824,high,-.0416933443982621,.0078749953548575,-.0575187400558917,-.0258679487406326,2.009575237129241
.0310101306192622,-.0153764933107824,high,-.0431526803475241,.0081506332051542,-.0595319910035253,-.0267733696915229,2.009575237129241
.0325788319680741,-.0153764933107824,high,-.0446120162967861,.0084262710554508,-.061545241951159,-.0276787906424132,2.009575237129241
.034147533316886,-.0153764933107824,high,-.0460713522460481,.0087019089057475,-.0635584928987926,-.0285842115933035,2.009575237129241
.0357162346656979,-.0153764933107824,high,-.0475306881953101,.0089775467560441,-.0655717438464263,-.0294896325441938,2.009575237129241
.0372849360145098,-.0153764933107824,high,-.048990024144572,.0092531846063408,-.06758499479406,-.0303950534950841,2.009575237129241
.0388536373633217,-.0153764933107824,high,-.050449360093834,.0095288224566374,-.0695982457416936,-.0313004744459744,2.009575237129241
.0404223387121336,-.0153764933107824,high,-.051908696043096,.0098044603069341,-.0716114966893273,-.0322058953968647,2.009575237129241
.0419910400609455,-.0153764933107824,high,-.053368031992358,.0100800981572307,-.0736247476369609,-.033111316347755,2.009575237129241
.0435597414097574,-.0153764933107824,high,-.05482736794162,.0103557360075274,-.0756379985845946,-.0340167372986453,2.009575237129241
.0451284427585693,-.0153764933107824,high,-.0562867038908819,.010631373857824,-.0776512495322283,-.0349221582495356,2.009575237129241
.0466971441073812,-.0153764933107824,high,-.0577460398401439,.0109070117081207,-.0796645004798619,-.0358275792004259,2.009575237129241
.0482658454561931,-.0153764933107824,high,-.0592053757894059,.0111826495584173,-.0816777514274956,-.0367330001513162,2.009575237129241
.049834546805005,-.0153764933107824,high,-.0606647117386679,.011458287408714,-.0836910023751292,-.0376384211022065,2.009575237129241
.051403248153817,-.0153764933107824,high,-.0621240476879299,.0117339252590106,-.0857042533227629,-.0385438420530968,2.009575237129241
.0529719495026289,-.0153764933107824,high,-.0635833836371918,.0120095631093072,-.0877175042703965,-.0394492630039871,2.009575237129241
.0545406508514408,-.0153764933107824,high,-.0650427195864538,.0122852009596039,-.0897307552180302,-.0403546839548774,2.009575237129241
.0561093522002527,-.0153764933107824,high,-.0665020555357158,.0125608388099005,-.0917440061656638,-.0412601049057677,2.009575237129241
.0576780535490646,-.0153764933107824,high,-.0679613914849778,.0128364766601972,-.0937572571132975,-.042165525856658,2.009575237129241
.0592467548978765,-.0153764933107824,high,-.0694207274342398,.0131121145104938,-.0957705080609312,-.0430709468075483,2.009575237129241
.0608154562466884,-.0153764933107824,high,-.0708800633835017,.0133877523607905,-.0977837590085648,-.0439763677584386,2.009575237129241
.0623841575955003,-.0153764933107824,high,-.0723393993327637,.0136633902110871,-.0997970099561985,-.0448817887093289,2.009575237129241
.0639528589443122,-.0153764933107824,high,-.0737987352820257,.0139390280613838,-.1018102609038321,-.0457872096602192,2.009575237129241
.0655215602931241,-.0153764933107824,high,-.0752580712312877,.0142146659116804,-.1038235118514658,-.0466926306111095,2.009575237129241
.067090261641936,-.0153764933107824,high,-.0767174071805497,.0144903037619771,-.1058367627990995,-.0475980515619999,2.009575237129241
.0686589629907479,-.0153764933107824,high,-.0781767431298116,.0147659416122737,-.1078500137467331,-.0485034725128901,2.009575237129241
.0702276643395598,-.0153764933107824,high,-.0796360790790736,.0150415794625704,-.1098632646943668,-.0494088934637804,2.009575237129241
