country_name,iso3,year,vulnerability100,debt_gdp,b_it_theta,country_id,mA_hat,spread_saving_component,TA_hat,theta_hat_A,theta_recomputed_debt_gdp,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,debt_missing_count,ready_missing_count,sample_debt,sample_ready,duplicate_key,debt_hinge_low,debt_hinge_high,debt_kink_low,debt_kink_high,ready_hinge_low,ready_hinge_high,ready_kink_low,ready_kink_high,ready_debt_hinge_low,ready_debt_hinge_high,ready_debt_kink_low,ready_debt_kink_high
Australia,AUS,1995,.3268232727050781,.3109700012207031,.3109700012207031,AUS,.0122135265552812,.0037980403678049,-.0427445877837959,-.0389465474159911,-.0389465474159911,0,0,-.0179700088500976,1996,.5829214096069336,1995,1,2,0,0,0,,,,,,,,,,,,
Australia,AUS,1996,.3267949295043945,.2929999923706055,.2929999923706055,AUS,.0088013696316019,.0025788012349102,-.0427516257240702,-.04017282448916,-.04017282448916,0,0,-.0343599891662598,1997,.5860774612426758,1996,1,1,0,0,0,,,,,,,,,,,,
Australia,AUS,1997,.3280905532836914,.2586400032043457,.2586400032043457,AUS,.0023122942329782,.0005980517878269,-.0424299075498095,-.0418318557619827,-.0418318557619827,0,0,-.0220700073242188,1998,.587919807434082,1997,1,1,0,0,0,,,,,,,,,,,,
Australia,AUS,1998,.3285287475585937,.2365699958801269,.2365699958801269,AUS,-.0018660306772227,-.0004414468696228,-.0423210989092568,-.0427625457788796,-.0427625457788796,0,0,-.0115299987792969,1999,.5919098281860351,1998,1,1,0,0,0,,,,,,,,,,,,
Australia,AUS,1999,.3286614227294922,.2250399971008301,.2250399971008301,AUS,-.0040514178136479,-.0009117310530376,-.0422881541498033,-.0431998852028409,-.0431998852028409,0,0,-.0304599952697754,2000,.5988552093505859,1999,1,1,0,0,0,,,,,,,,,,,,
Australia,AUS,2000,.3286286544799805,.1945800018310547,.1945800018310547,AUS,-.0098347828772075,-.0019136520702551,-.0422962908802146,-.0442099429504697,-.0442099429504697,0,0,-.0238199996948242,2001,.6069406127929687,2000,0,0,1,1,0,.0572368928529157,0,.0347393948225142,0,.0694741249135018,0,.0012885374844521,0,.0572368928529157,0,.0010615733847152,0
Australia,AUS,2001,.3276745223999024,.1707600021362305,.1707600021362305,AUS,-.0143816562503862,-.0024558116520385,-.0425332127673483,-.0449890244193868,-.0449890244193868,0,0,-.020910005569458,2002,.6124575042724609,2001,0,0,1,1,0,.0580159743218328,0,.0355323188410849,0,.0702532063824189,0,.001415900828914,0,.0580159743218328,0,.0011692685695424,0
Australia,AUS,2002,.3280223846435547,.1498499965667724,.1498499965667724,AUS,-.0183421241044644,-.0027485672340813,-.0424468346013171,-.0451954018353984,-.0451954018353984,0,0,-.0181999969482422,2003,.6151788330078125,2002,0,0,1,1,0,.0582223517378444,0,.0358171583970575,0,.0704595837984305,0,.0013228259776689,0,.0582223517378444,0,.0010930810999414,0
Australia,AUS,2003,.3275015640258789,.1316499996185303,.1316499996185303,AUS,-.021810792358321,-.0028713908056528,-.0425761603059803,-.0454475511116331,-.0454475511116331,0,0,-.0127700042724609,2004,.6199591827392578,2003,0,0,1,1,0,.0584745010140791,0,.0362518038597744,0,.0707117330746652,0,.000575132336949,0,.0584745010140791,0,.0004756010771882,0
Australia,AUS,2004,.3267987442016602,.1188799953460693,.1188799953460693,AUS,-.0242533825758281,-.0028832420077409,-.0427506784911934,-.0456339204989343,-.0456339204989343,0,0,-.0104799938201904,2005,.6290117645263672,2004,0,0,1,1,0,.0586608704013803,0,.0368983775998248,0,.0708981024619664,0,-.00002160210287,0,.0586608704013803,0,-.0000178735130117,0
Australia,AUS,2005,.327109603881836,.1084000015258789,.1084000015258789,AUS,-.0262347878299262,-.0028438510407951,-.0426734884840668,-.0455173395248619,-.0455173395248619,0,0,-.0092000007629394,2006,.6338233566284179,2005,0,0,1,1,0,.0585442894273079,0,.0371067380362419,0,.070781521487894,0,-.0002794213198813,0,.0585442894273079,0,-.0002311128989519,0
Australia,AUS,2006,.3270945358276367,.0992000007629395,.0992000007629395,AUS,-.0279817044789933,-.0027757851056645,-.04267723005393,-.0454530151595944,-.0454530151595944,0,0,-.0027299976348877,2007,.6775400543212891,2006,0,0,1,1,0,.0584799650620404,0,.039622518704842,0,.0707171971226265,0,-.0005931635928404,0,.0584799650620404,0,-.0004905198112593,0
