theta,cutoff,branch,marginal_effect,se,ci_low,ci_high,critical
-.056904012368281,.0252641819630321,low,-.0932973807299569,.0334685124290722,-.1589531496650217,-.0276416117948922,1.961717571828298
-.0535379506950418,.0252641819630321,low,-.0894754063024498,.0320974578760954,-.1524415534290047,-.0265092591758948,1.961717571828298
-.0501718890218025,.0252641819630321,low,-.0856534318749426,.0307264033231186,-.1459299571929877,-.0253769065568975,1.961717571828298
-.0468058273485633,.0252641819630321,low,-.0818314574474354,.0293553487701417,-.1394183609569707,-.0242445539379002,1.961717571828298
-.043439765675324,.0252641819630321,low,-.0780094830199282,.0279842942171649,-.1329067647209537,-.0231122013189028,1.961717571828298
-.0400737040020848,.0252641819630321,low,-.0741875085924211,.0266132396641881,-.1263951684849367,-.0219798486999055,1.961717571828298
-.0367076423288455,.0252641819630321,low,-.0703655341649139,.0252421851112113,-.1198835722489197,-.0208474960809082,1.961717571828298
-.0333415806556063,.0252641819630321,low,-.0665435597374067,.0238711305582344,-.1133719760129027,-.0197151434619108,1.961717571828298
-.029975518982367,.0252641819630321,low,-.0627215853098996,.0225000760052576,-.1068603797768857,-.0185827908429135,1.961717571828298
-.0266094573091278,.0252641819630321,low,-.0588996108823924,.0211290214522808,-.1003487835408687,-.0174504382239161,1.961717571828298
-.0232433956358885,.0252641819630321,low,-.0550776364548852,.019757966899304,-.0938371873048517,-.0163180856049188,1.961717571828298
-.0198773339626492,.0252641819630321,low,-.0512556620273781,.0183869123463271,-.0873255910688347,-.0151857329859215,1.961717571828298
-.01651127228941,.0252641819630321,low,-.0474336875998709,.0170158577933503,-.0808139948328177,-.0140533803669241,1.961717571828298
-.0131452106161707,.0252641819630321,low,-.0436117131723637,.0156448032403735,-.0743023985968006,-.0129210277479268,1.961717571828298
-.0097791489429315,.0252641819630321,low,-.0397897387448565,.0142737486873966,-.0677908023607837,-.0117886751289294,1.961717571828298
-.0064130872696922,.0252641819630321,low,-.0359677643173494,.0129026941344198,-.0612792061247667,-.0106563225099321,1.961717571828298
-.003047025596453,.0252641819630321,low,-.0321457898898422,.011531639581443,-.0547676098887497,-.0095239698909348,1.961717571828298
.0003190360767863,.0252641819630321,low,-.028323815462335,.0101605850284662,-.0482560136527326,-.0083916172719374,1.961717571828298
.0036850977500255,.0252641819630321,low,-.0245018410348279,.0087895304754893,-.0417444174167156,-.0072592646529401,1.961717571828298
.0070511594232648,.0252641819630321,low,-.0206798666073207,.0074184759225125,-.0352328211806986,-.0061269120339428,1.961717571828298
.010417221096504,.0252641819630321,low,-.0168578921798135,.0060474213695357,-.0287212249446816,-.0049945594149454,1.961717571828298
.0137832827697433,.0252641819630321,low,-.0130359177523064,.0046763668165589,-.0222096287086646,-.0038622067959481,1.961717571828298
.0171493444429825,.0252641819630321,low,-.0092139433247992,.003305312263582,-.0156980324726476,-.0027298541769507,1.961717571828298
.0205154061162218,.0252641819630321,low,-.005391968897292,.0019342577106052,-.0091864362366306,-.0015975015579534,1.961717571828298
.023881467789461,.0252641819630321,low,-.0015699944697849,.0005632031576284,-.0026748400006136,-.0004651489389561,1.961717571828298
.0252641819630321,.0252641819630321,cutoff,0,0,0,0,1.961717571828298
.0272475294627003,.0252641819630321,high,.0001030134037918,.0000873872978463,-.0000684157939479,.0002744426015316,1.961717571828298
.0306135911359395,.0252641819630321,high,.0002778438207468,.0002356976842298,-.000184528468046,.0007402161095396,1.961717571828298
.0339796528091788,.0252641819630321,high,.0004526742377018,.0003840080706132,-.000300641142144,.0012059896175477,1.961717571828298
.037345714482418,.0252641819630321,high,.0006275046546568,.0005323184569967,-.0004167538162421,.0016717631255558,1.961717571828298
