equation,cutoff,coefficient_low,p_low,coefficient_high,p_high,product_ab,opposite_sign
debt,-.0324804984770311,-4143.3994,.0021585897,-.93923044,2.0590537e-06,3891.6067,0
ready_debt,-.0324804984770311,-704.35266,.45649976,.55936033,.019324629,-393.98694,1
