model,equation,cutoff,N,countries,years,first_year,last_year,r2_within,r2_overall,rss,clusters,df_r,cluster_variable,macro_controls,external_controls
DN1_core,debt,-.0324804984770311,744,50,20,1999,2018,.27765438,.072350748,1.2544522,50,49,country_id,0,0
DN2_macro,debt,-.0324804984770311,744,50,20,1999,2018,.33683383,.11850523,1.1516789,50,49,country_id,1,0
DN3_full,debt,-.0324804984770311,744,50,20,1999,2018,.34293678,.13332702,1.1410804,50,49,country_id,1,1
RDN1_core,ready_debt,-.0324804984770311,744,50,20,1999,2018,.19799565,.17060807,.20066018,50,49,country_id,0,0
RDN2_macro,ready_debt,-.0324804984770311,744,50,20,1999,2018,.20936005,.17281632,.19781682,50,49,country_id,1,0
RDN3_full,ready_debt,-.0324804984770311,744,50,20,1999,2018,.20976226,.17290395,.19771619,50,49,country_id,1,1
