item,value
raw_observations,1972
duplicate_country_year_rows,0
nonpositive_CurrentGDP,0
common_sample_observations,1286
common_sample_loss,686
common_sample_countries,65
common_sample_years,26
common_sample_first_year,1998
common_sample_last_year,2023
twfe_condition_number,2.122214490789804
