variable,missing_total,missing_rate,exclusive_loss
bond_spreads,497,27.203066,319
vulnerability100,58,3.1746032,0
readiness100,58,3.1746032,0
debt_gdp,103,5.6376572,11
ln_capitagdp,4,.21893816,0
inflation_cpi,7,.38314176,1
reserves,70,3.8314176,3
tt,222,12.151068,90
