model,moderator,threshold,sample_min,sample_max,in_range
Interact_AB,ln_debt,8.430627141356805,1.2223037,15.928585,1
Interact_AX,vulnerability100,.5086835670590617,.25103006,.56856817,1
Interact_all,ln_debt,7.873561145608456,1.2223037,15.928585,1
Interact_all,vulnerability100,.347525020976258,.25103006,.56856817,1
