model,variable,coefficient,se,t,p,ci_low,ci_high,omitted
Interact_AX,tt,-.0027624860147909,.0044733202,-.61754709,.53700411,-.011539869,.0060148975,0
Interact_all,c_A,-.0012725579428369,.018622108,-.068335868,.94553095,-.037812207,.035267092,0
Interact_all,c_X,.2872995943922262,.070695184,4.06392,.000051754276,.14858398,.42601523,0
Interact_all,c_b,.0184432736146682,.0022546228,8.1802044,7.9083078e-16,.014019332,.022867216,0
Interact_all,int_AB,-.0306624786326068,.004092243,-7.4928293,1.4002046e-13,-.038692135,-.022632822,0
Interact_all,int_AX,.522379947276241,.16910696,3.0890505,.0020593281,.1905642,.85419571,0
Interact_all,growth,-.182429328691688,.038496099,-4.7389045,2.4358073e-06,-.25796503,-.10689364,0
Interact_all,ln_constantgdp,-.023205095402206,.0049338238,-4.7032681,2.8920078e-06,-.032886073,-.013524119,0
Interact_all,inflation_cpi,.1405033783569809,.028467907,4.9355006,9.2552727e-07,.084644645,.19636211,0
Interact_all,reserves,.0250982131078149,.0042550932,5.8983932,4.9066511e-09,.016749019,.033447407,0
Interact_all,tt,-.0046526105685573,.0043885931,-1.0601599,.28930908,-.013263755,.0039585331,0
