variable,mean,sd,min,p10,p25,p50,p75,p90,max
readiness100,.5602302337718266,.13145925,.26723579,.36821342,.46364066,.55566174,.67749536,.72784597,.7973066
b_it,.6051571231631823,.34685743,.04916,.26455,.37902001,.51545,.76332498,1.05032,2.03721
wsdi_days,.1705572592318557,.10528411,0,.053918079,.094500884,.15186262,.22385734,.32561389,.73336875
