variable,vif,tolerance,condition_number
vulnerability100,1.291249080915385,.77444392,1.8791015
readiness100,1.070075508819608,.93451351,1.8791015
ln_debt,1.407297762057809,.71058166,1.8791015
growth,1.085911668356549,.92088521,1.8791015
ln_capitagdp,1.312074053613686,.76215208,1.8791015
inflation_cpi,1.074910382559361,.93031013,1.8791015
reserves,1.117752000929016,.89465284,1.8791015
tt,1.050477719979077,.95194787,1.8791015
