country_name,iso3,year,bond_spreads,capacity,debt_gdp,interest_revenue,wsdi_days,wsdi_merge,adapt_capacity,country_id,duplicate_key,spread_lag,b_pre,T_it,T_lead,b_outcome_common,A_outcome_common,sample_layer2_a
Australia,AUS,1995,.0262286996841431,.3510872721672058,.3109700012207031,.0677430772781372,.0827267262040537,Matched (3),.6489127278327942,AUS,0,,,,1.039684026707669,-.0179700088500976,,0
Australia,AUS,1996,.0176441895961761,.350160539150238,.2929999923706055,.0630793714523315,.0508710866766693,Matched (3),.649839460849762,AUS,0,.0262286996841431,.3109700012207031,1.039684026707669,1.047234443018177,-.0343599891662598,.0009267330169678,0
Australia,AUS,1997,.0059797602891922,.353869765996933,.2586400032043457,.0529903936386108,.0429568720750743,Matched (3),.646130234003067,AUS,0,.0176441895961761,.2929999923706055,1.047234443018177,1.046874402818705,-.0220700073242188,-.0037092268466949,0
Australia,AUS,1998,.0021465699374676,.3551079034805298,.2365699958801269,.0403354978561401,.1308506991599911,Matched (3),.6448920965194702,AUS,0,.0059797602891922,.2586400032043457,1.046874402818705,1.044204784866513,-.0115299987792969,-.0012381374835968,0
Australia,AUS,1999,.0037617000937462,.3550215065479279,.2250399971008301,.0265623736381531,.0409553859285239,Matched (3),.6449784934520721,AUS,0,.0021465699374676,.2365699958801269,1.044204784866513,1.031083327831577,-.0304599952697754,.0000863969326019,0
Australia,AUS,2000,.0028916499018669,.3548656404018402,.1945800018310547,.0185470128059387,.0339377581145743,Matched (3),.6451343595981598,AUS,0,.0037617000937462,.2250399971008301,1.031083327831577,1.025835046702027,-.0238199996948242,.0001558661460876,1
Australia,AUS,2001,.0061443400382996,.3524959087371826,.1707600021362305,.0201542520523071,.0665962926966363,Matched (3),.6475040912628174,AUS,0,.0028916499018669,.1945800018310547,1.025835046702027,1.041474049712079,-.020910005569458,.0023697316646576,1
Australia,AUS,2002,.0125736904144287,.3552150130271912,.1498499965667724,.0187742519378662,.1760760325028979,Matched (3),.6447849869728088,AUS,0,.0061443400382996,.1707600021362305,1.041474049712079,1.030179349815433,-.0181999969482422,-.0027191042900085,1
Australia,AUS,2003,.0137061405181885,.3544506728649139,.1316499996185303,.0081334781646729,.0797213754119544,Matched (3),.6455493271350861,AUS,0,.0125736904144287,.1498499965667724,1.030179349815433,1.041029207504154,-.0127700042724609,.0007643401622772,1
Australia,AUS,2004,.0133891904354095,.353886604309082,.1188799953460693,-.0003046922571957,.0931815298227914,Matched (3),.646113395690918,AUS,0,.0137061405181885,.1316499996185303,1.041029207504154,1.030403724755607,-.0104799938201904,.0005640685558319,1
