model,N,countries,years,first_year,last_year,r2_within,r2_overall,clusters,df_r,cluster_variable,country_fe,year_fe,estimator,initial_estimator,bias_order,bootstrap_reps,se_type,dynamic_lag
A_b_only,1148,61,25,1999,2023,,,,,,1,1,LSDVC,Blundell-Bond,2,50,bootstrap,L.bond_spreads
A_X_only,742,50,20,1999,2018,,,,,,1,1,LSDVC,Blundell-Bond,2,50,bootstrap,L.bond_spreads
A_A_only,1130,60,25,1999,2023,,,,,,1,1,LSDVC,Blundell-Bond,2,50,bootstrap,L.bond_spreads
Layer2_A,742,50,20,1999,2018,,,,,,1,1,LSDVC,Blundell-Bond,2,50,bootstrap,L.bond_spreads
Interact_AB,742,50,20,1999,2018,,,,,,1,1,LSDVC,Blundell-Bond,2,50,bootstrap,L.bond_spreads
Interact_AX,742,50,20,1999,2018,,,,,,1,1,LSDVC,Blundell-Bond,2,50,bootstrap,L.bond_spreads
Interact_all,742,50,20,1999,2018,,,,,,1,1,LSDVC,Blundell-Bond,2,50,bootstrap,L.bond_spreads
