model,variable,baseline,new,absolute_change,percent_change,reporting_rule
Layer2_A, wsdi_days,.0098228445650944,.0091831814,-.00063966349,-6.5119987,percent
Layer2_A, readiness100,-.0316465732591954,-.026908848,.004737725,14.970737,percent
