variable,vif,tolerance,condition_number
wsdi_days,1.013965162477259,.98622715,1.7913532
readiness100,1.028593076440408,.97220176,1.7913532
b_pre,1.217772026787111,.82117176,1.7913532
spread_lag,1.325416209689071,.75448,1.7913532
growth,1.178058642553045,.84885418,1.7913532
inflation_cpi,1.030063713777528,.97081375,1.7913532
reserves,1.039749801221314,.96176982,1.7913532
tt,1.037408492556997,.96394044,1.7913532
