sample,variable,mean,sd,min,p10,p25,p50,p75,p90,max
spread,readiness100,.5602302337718266,.13145925,.26723579,.36821342,.46364066,.55566174,.67749536,.72784597,.7973066
spread,b_it,.6051571231631823,.34685743,.04916,.26455,.37902001,.51545,.76332498,1.05032,2.03721
spread,wsdi_days,.1705572592318557,.10528411,0,.053918079,.094500884,.15186262,.22385734,.32561389,.73336875
tax,readiness100,.5202780598588288,.13728587,.25123844,.34903517,.39835751,.50727451,.63999897,.71015221,.7973066
tax,wsdi_days,.1659416034710151,.10593123,0,.049377579,.08929459,.14687727,.21929944,.31565577,.73336875
