variable,sample,N,mean,sd,min,p10,p25,p50,p75,p90,max
T_lead,tax,1024,1.0318161,.032098934,.85493004,.99968439,1.0149808,1.0304478,1.0509084,1.0702929,1.2462394
T_it,tax,1024,1.0330091,.032549631,.85493004,1.0003356,1.0159111,1.031876,1.0517397,1.0713896,1.2462394
mA_hat_spread_ratio,theta_support,744,.034074344,.031206749,-.016001631,.0034129543,.013659005,.026021251,.048339542,.074035525,.16285667
mA_hat,theta_support,744,.034074344,.031206749,-.016001631,.0034129543,.013659005,.026021251,.048339542,.074035525,.16285667
spread_saving_component,theta_support,744,.031430043,.050013129,-.001163354,.00090385269,.0051755956,.013412663,.036898982,.077760994,.33177322
TA_hat,theta_support,744,-.014436429,.011528512,-.033112291,-.027208311,-.022764532,-.016483475,-.0086001195,.0025421269,.047190908
theta_hat_A,theta_support,744,.016993616,.052064963,-.032502469,-.021942182,-.013190113,.0027553265,.026277015,.06653104,.31424287
theta_hat_A,all_constructible,744,.016993616,.052064963,-.032502469,-.021942182,-.013190113,.0027553265,.026277015,.06653104,.31424287
