variable,missing_total,missing_rate,exclusive_loss
T_lead,65,3.557745,0
readiness100,58,3.1746032,0
wsdi_days,594,32.512314,437
T_it,65,3.557745,17
inflation_cpi,7,.38314176,1
reserves,70,3.8314176,0
tt,222,12.151068,146
