criterion,variable,cutoff,beta_L,p_L,beta_H,p_H,theoretical_signs,rss,r2_within,N,N_low,N_high,candidate_count,trim_low,trim_high,clusters,cluster_variable
TA,TA_hat,-.010639325205999,.5343363150812277,.6343351092765116,-3.375247913259507,.0013407982808098,"Match (+,-)",1.688265149711905,.2564034362944976,996,705,291,798,-.0276824166434264,.0015820727178772,52,country_id
b_pre,b_pre,.2110099983215332,.0735019446326584,.658362536911038,-.2005056651110558,1.12990426198e-07,"Match (+,-)",1.358450482810926,.3634138368311443,984,99,885,784,.2110099983215332,1.000749969482422,52,country_id
b_pre*mA,b_pre_mA_hat,.0360010070026958,3.247477413507077,.0000112171584926,-1.375629987146874,.0024310215840544,"Match (+,-)",1.075131201117204,.3808669939248563,742,573,169,594,.003528860298865,.0631744834970332,50,country_id
mA,mA_hat,.01344826131739,1.086450835939316,.6850479223390749,-3.847698975797213,6.59262726582e-09,"Match (+,-)",1.044169402362976,.3986968843756957,742,75,667,594,.01344826131739,.0602159086611288,50,country_id
theta,theta_hat_A,.0517856469405607,2.549642123938336,.0000341836221079,-.9721501403835003,2.08296515672e-06,"Match (+,-)",1.068936441103803,.3844343542479737,742,666,76,592,-.0200237416216606,.0523370699965715,50,country_id
