country_name,iso3,year,theta_hat_A,cutoff
Denmark,DNK,2014,.0074914368278315,.0593002794631694
Denmark,DNK,2015,.0112057279156441,.0593002794631694
Denmark,DNK,2016,-.0020327924757101,.0593002794631694
Denmark,DNK,2017,-.017328283974455,.0593002794631694
Denmark,DNK,2018,.014075590619478,.0593002794631694
Egypt,EGY,2011,.0007697208971449,.0593002794631694
Egypt,EGY,2012,.0309680854574615,.0593002794631694
Egypt,EGY,2013,.0028089449890037,.0593002794631694
Egypt,EGY,2014,.0179793542425527,.0593002794631694
Egypt,EGY,2015,.0432662035889474,.0593002794631694
Egypt,EGY,2016,.0312116803543372,.0593002794631694
Egypt,EGY,2017,.030554371903976,.0593002794631694
Egypt,EGY,2018,.0495540265237421,.0593002794631694
Spain,ESP,2000,-.0033098237007494,.0593002794631694
Spain,ESP,2001,-.000481015491033,.0593002794631694
Spain,ESP,2002,-.0019207038178316,.0593002794631694
Spain,ESP,2003,.010871931624256,.0593002794631694
Spain,ESP,2004,-.0061758050926696,.0593002794631694
Spain,ESP,2005,-.0045381827881316,.0593002794631694
Spain,ESP,2006,-.0067177236915387,.0593002794631694
Spain,ESP,2007,-.0111967665912616,.0593002794631694
Spain,ESP,2008,-.0194777075857256,.0593002794631694
Spain,ESP,2009,-.0054768828251673,.0593002794631694
Spain,ESP,2010,-.0119743805740535,.0593002794631694
Spain,ESP,2011,.0094114984950103,.0593002794631694
Spain,ESP,2012,.0134534153083025,.0593002794631694
Spain,ESP,2013,.0217085433559801,.0593002794631694
Spain,ESP,2014,.0469906306176181,.0593002794631694
Spain,ESP,2015,.0663567650303576,.0593002794631694
Spain,ESP,2016,.0416161308738614,.0593002794631694
Spain,ESP,2017,.0660318510570783,.0593002794631694
Spain,ESP,2018,.0430421172888175,.0593002794631694
Finland,FIN,2000,-.0012504932163734,.0593002794631694
Finland,FIN,2001,-.0108700548548194,.0593002794631694
Finland,FIN,2002,.0067070383598514,.0593002794631694
Finland,FIN,2003,-.0071863111484609,.0593002794631694
Finland,FIN,2004,-.0119094115104042,.0593002794631694
Finland,FIN,2005,.0039783514926235,.0593002794631694
Finland,FIN,2006,.0198594940038495,.0593002794631694
Finland,FIN,2007,.0006820907722738,.0593002794631694
Finland,FIN,2008,-.0136690411896137,.0593002794631694
Finland,FIN,2009,-.0173348015917877,.0593002794631694
Finland,FIN,2010,-.0121496430800785,.0593002794631694
