specification,cutoff,rss,N,N_low,N_high
current_debt,-.0324804969131947,1.14011573791504,742,1,741
current_debt,-.032119657844305,1.14023530483246,742,3,739
current_debt,-.0316556505858898,1.14025259017944,742,4,738
current_debt,-.0316060744225979,1.14024949073792,742,4,738
current_debt,-.0314310677349567,1.14033102989197,742,6,736
current_debt,-.0302180554717779,1.1410014629364,742,7,735
current_debt,-.0301692225039005,1.14102029800415,742,8,734
current_debt,-.0299703143537045,1.14117574691772,742,8,734
current_debt,-.0299701150506735,1.14117586612701,742,9,733
current_debt,-.0299289226531982,1.14119446277618,742,11,731
current_debt,-.0298708584159613,1.14122235774994,742,11,731
current_debt,-.029870493337512,1.14122247695923,742,13,729
current_debt,-.0298217609524727,1.14124941825867,742,13,729
current_debt,-.0291420519351959,1.14144361019135,742,15,727
current_debt,-.0289548523724079,1.1414589881897,742,16,726
current_debt,-.0287804920226336,1.14146590232849,742,16,726
current_debt,-.0286654271185398,1.14146316051483,742,18,724
current_debt,-.028469854965806,1.14145135879517,742,19,723
current_debt,-.0284355171024799,1.14144766330719,742,20,722
current_debt,-.0283121336251497,1.14144563674927,742,21,721
current_debt,-.0282030683010817,1.14144432544708,742,21,721
current_debt,-.0279213562607765,1.14144575595856,742,23,719
current_debt,-.0278834141790867,1.14145076274872,742,23,719
current_debt,-.0278682596981525,1.1414543390274,742,25,717
current_debt,-.0274363178759813,1.14155173301697,742,26,716
current_debt,-.0273505467921495,1.14156663417816,742,27,715
current_debt,-.0273333955556154,1.14157009124756,742,28,714
current_debt,-.0273241139948368,1.1415718793869,742,29,713
current_debt,-.026900839060545,1.14164876937866,742,29,713
current_debt,-.0267471913248301,1.14167332649231,742,30,712
current_debt,-.0266856960952282,1.14168262481689,742,31,711
current_debt,-.0266827363520861,1.14168310165405,742,32,710
current_debt,-.0265966299921274,1.14169418811798,742,34,708
current_debt,-.0263429284095764,1.14173483848572,742,35,707
current_debt,-.0263385307043791,1.14173543453217,742,35,707
current_debt,-.0262960344552994,1.14173948764801,742,36,706
current_debt,-.0260790213942528,1.14176392555237,742,37,705
current_debt,-.0260604601353407,1.14176630973816,742,38,704
current_debt,-.0258764307945967,1.14178943634033,742,39,703
current_debt,-.0258706863969564,1.14179039001465,742,41,701
current_debt,-.0257829278707504,1.14180743694305,742,42,700
current_debt,-.0256889667361975,1.14182412624359,742,42,700
current_debt,-.0256547033786774,1.14183008670807,742,43,699
current_debt,-.0256046336144209,1.14183962345123,742,44,698
current_debt,-.025531180202961,1.14185309410095,742,45,697
current_debt,-.0255121365189552,1.14185655117035,742,47,695
current_debt,-.0254661832004786,1.14186453819275,742,47,695
current_debt,-.0252877604216337,1.1418924331665,742,49,693
current_debt,-.0249707121402025,1.14193725585938,742,50,692
current_debt,-.0249224416911602,1.14194357395172,742,51,691
current_debt,-.0248544719070196,1.14195227622986,742,52,690
current_debt,-.0247865412384272,1.14196109771729,742,52,690
current_debt,-.024753775447607,1.14196527004242,742,54,688
current_debt,-.0242533572018147,1.14202392101288,742,54,688
current_debt,-.0240641422569752,1.14204394817352,742,55,687
current_debt,-.0238476358354092,1.1420658826828,742,56,686
