specification,replicate,status,failure_stage,failure_reason,cutoff,beta_L,beta_H,rss,N,countries,N_low,N_high
current_debt,1,success,,,-.0104774813064738,4.72608232498169,-.805171430110931,.876984775066376,638,41,146,492
current_debt,2,success,,,.0335040326875076,-.487359702587128,-.986815929412842,.942761838436127,780,51,325,455
current_debt,3,success,,,.006457554429363,.374537080526352,-2.0424325466156,1.03011131286621,819,56,339,480
current_debt,4,success,,,.0793495199462727,.963416039943695,-.183597445487976,1.53732109069824,794,50,685,109
current_debt,5,success,,,.186550498554147,.928435325622559,-.257329672574997,1.35436904430389,679,45,584,95
current_debt,6,success,,,-.08016234254811,-2.10215353965759,-2.32922863960266,.814748108386993,631,48,65,566
current_debt,7,success,,,.0375763089806236,1.24371480941772,-.491750806570053,1.21942138671875,838,53,638,200
current_debt,8,success,,,.0145906903436851,-22.8648815155029,-1.17635905742645,.953294396400452,784,51,2,782
current_debt,9,success,,,-.0178297415465145,-6.40574026107788,-4.0569896697998,.817320227622986,646,48,10,636
current_debt,10,success,,,-.0189791056041158,-.0613949187099934,-1.64770126342773,.900541007518768,668,48,117,551
current_debt,11,success,,,-.086650181560504,-223.441116333008,-.725627481937408,1.03358697891235,735,49,1,734
current_debt,12,success,,,.0504778288734139,1.93864440917969,-.582897126674652,1.39546585083008,751,52,681,70
current_debt,13,success,,,.034128267338394,1.37493681907654,-.303160548210144,1.25603461265564,760,49,697,63
current_debt,14,success,,,.0355439579539736,-.271149218082428,-.82106614112854,1.29557275772095,824,54,370,454
current_debt,15,success,,,.07123913773421,1.23226058483124,-.504904866218567,1.56166660785675,815,52,695,120
current_debt,16,success,,,.073589703609801,2.24708676338196,-.835913956165314,1.10702514648438,745,54,681,64
current_debt,17,success,,,.0592769391177081,1.07007431983948,-.418274998664856,1.53678619861603,796,54,690,106
current_debt,18,success,,,.0522034569161168,-183.487716674805,-.798109412193298,1.2225444316864,624,44,6,618
current_debt,19,success,,,-.0263562902241196,-147.008758544922,-1.24308598041534,1.50764679908752,784,52,4,780
current_debt,20,success,,,.103447905620642,1.33917200565338,-.479601830244064,1.56771206855774,806,56,713,93
current_debt,21,success,,,-.0455743326229195,-8.41526985168457,-2.22477865219116,.928100824356079,840,56,6,834
current_debt,22,success,,,-.0451901463566783,-246.082977294922,-1.25436127185822,.777630686759949,741,48,1,740
current_debt,23,success,,,.0018093936536414,2.01845622062683,-.32581615447998,1.05775630474091,674,50,652,22
current_debt,24,success,,,.0913998018667107,1.04358613491058,-.435240894556046,1.68475699424744,810,56,715,95
current_debt,25,success,,,-.0293348252150553,-.719553887844086,-.854912161827087,1.39561176300049,784,53,373,411
current_debt,26,success,,,-.0301394081266826,-79.8895797729492,-.874083995819092,1.01511681079865,775,53,4,771
current_debt,27,success,,,-.0366536926871669,.477732747793198,-1.54714274406433,1.01940274238586,745,49,398,347
current_debt,28,success,,,-.0306496142654853,15.3572235107422,-1.02886855602264,.902537822723389,875,54,117,758
