specification,cutoff,cutoff_z,rss,rss_index,rss_excess_pct,selected,N,N_low,N_high
current_debt,-0.0219043442513724,-0.47363272778168947,1.143202487124809,1.000018965236505,0.001896523650501969,0,744,75,669
current_debt,-0.0218184949836502,-0.47198384028057766,1.143206115101216,1.0000221388170853,0.0022138817085348705,0,744,77,667
current_debt,-0.0217845822270124,-0.47133248562104507,1.14320778435934,1.0000235990044106,0.002359900441062379,0,744,77,667
current_debt,-0.0217765588314567,-0.4711783820742207,1.143208261467554,1.0000240163559015,0.002401635590154605,0,744,78,666
current_debt,-0.0216959376467628,-0.46962990918337716,1.143212746077066,1.000027939278231,0.0027939278230970643,0,744,79,665
current_debt,-0.021662826150788,-0.46899394415648105,1.143214308594145,1.0000293060935852,0.0029306093585201864,0,744,81,663
current_debt,-0.0216167264812199,-0.46810851821199667,1.143214740267244,1.0000296837006064,0.002968370060640879,0,744,81,663
current_debt,-0.0215774182832558,-0.4673535345291542,1.143215356513184,1.0000302227631384,0.003022276313835448,0,744,82,662
current_debt,-0.0213927072086571,-0.4638058306255138,1.143222766989247,1.000036705093861,0.0036705093861000293,0,744,83,661
current_debt,-0.0213239230884863,-0.4624847095602578,1.143231170164923,1.0000440557908186,0.004405579081856459,0,744,84,660
current_debt,-0.0212485795213153,-0.4610376026775358,1.14324255456082,1.0000540143169179,0.005401431691787195,0,744,85,659
current_debt,-0.0211726806452938,-0.45957983010310627,1.143255833230334,1.0000656298631547,0.006562986315472585,0,744,87,657
current_debt,-0.0211011211923221,-0.4582054038473897,1.143267518668271,1.0000758517264603,0.007585172646029648,0,744,88,656
current_debt,-0.0210311838695541,-0.4568621334802325,1.143280336302029,1.000087063980625,0.008706398062496845,0,744,89,655
current_debt,-0.0208157905352032,-0.4527251223413227,1.143315323010484,1.0001176686830993,0.011766868309925904,0,744,89,655
current_debt,-0.0207410993585766,-0.4512905457764829,1.143328290700599,1.0001290121994022,0.012901219940220088,0,744,91,653
current_debt,-0.0205484386722724,-0.4475901554757691,1.143361859030651,1.0001583761721553,0.015837617215530564,0,744,91,653
current_debt,-0.0205077390024022,-0.4468084461062087,1.143369040045447,1.000164657781115,0.0164657781114963,0,744,92,652
current_debt,-0.020419864693977,-0.4451206641055512,1.143384038435966,1.0001777776571963,0.017777765719628746,0,744,93,651
current_debt,-0.0203852489337472,-0.44445580701475923,1.143389525194342,1.0001825772115145,0.01825772115144897,0,744,94,650
current_debt,-0.0202531522756526,-0.44191865632902905,1.143411751152021,1.0002020194183414,0.02020194183414148,0,744,95,649
current_debt,-0.0202107182348963,-0.4411036352894653,1.143418777162506,1.0002081654369286,0.02081654369285868,0,744,97,647
current_debt,-0.0201342213478069,-0.4396343768514803,1.143432884288054,1.0002205056769577,0.02205056769577496,0,744,97,647
current_debt,-0.0198426190471397,-0.4340336373038646,1.143486632548351,1.000267522089405,0.026752208940505895,0,744,98,646
current_debt,-0.0198225130680061,-0.4336474663024032,1.143490202133264,1.0002706445918936,0.027064459189363177,0,744,100,644
current_debt,-0.0197831897623776,-0.4328921924500619,1.143497367703413,1.0002769126906133,0.02769126906132513,0,744,100,644
current_debt,-0.0197575177613281,-0.43239911612242177,1.143499395465176,1.0002786864798088,0.027868647980877626,0,744,101,643
current_debt,-0.019745774010121,-0.4321735565446253,1.143500075551525,1.000279281386883,0.02792813868830457,0,744,102,642
current_debt,-0.0197001362679926,-0.43129700273617605,1.143503425027182,1.0002822113483014,0.028221134830141992,0,744,103,641
current_debt,-0.0196009449586023,-0.42939185765326365,1.143508113103002,1.0002863122532446,0.028631225324460274,0,744,104,640
current_debt,-0.0191123162778055,-0.4200068769093659,1.143515629087804,1.0002928868779755,0.02928868779754623,0,744,105,639
current_debt,-0.0190754339906957,-0.41929848714855206,1.143515419342933,1.0002927034031748,0.02927034031747766,0,744,107,637
